기준년월,행정동코드,시도명,시군구명,성별,연령별,직업구분,분위구분,평균소득,중위소득,평균처분가능소득,중위처분가능소득,소득분위배율,소득점유율,소득경계값,소득산출인구수,소득미산출인구수,소득미산출인구포함평균소득
2017-12-30,2820000000,인천광역시,남동구,0,70,0,0,2280,2100,2011,2000,171.3,100,29900,17498,18584,2147
2017-12-30,2820000000,인천광역시,남동구,0,40,3,4,2329,2300,1693,2066,182.9,3.1,2400,1514,1514,2329
2017-12-30,2820000000,인천광역시,남동구,0,20,1,8,3416,3400,2781,3200,265.9,8.1,3600,105,105,3416
2017-12-30,2814000000,인천광역시,동구,2,90,0,0,,,,,,,,1,37,
2017-12-30,2814000000,인천광역시,동구,2,80,3,2,,,,,,,,1,1,
2017-12-30,2814000000,인천광역시,동구,2,80,1,0,,,,,,,,8,8,
2017-12-30,2814000000,인천광역시,동구,2,80,0,3,,,,,,,,5,5,
2017-12-30,2814000000,인천광역시,동구,2,70,4,5,2543,2500,2490,2500,188.5,20.7,2700,274,274,2543
2017-12-30,2814000000,인천광역시,동구,2,70,4,1,1349,1500,942,0,100,2.3,1600,57,124,620
2017-12-30,2814000000,인천광역시,동구,2,70,3,6,,,,,,,,1,1,
2017-12-30,2814000000,인천광역시,동구,2,70,2,2,,,,,,,,1,1,
2017-12-30,2814000000,인천광역시,동구,2,70,1,7,3034,3000,2720,3000,233.4,7.9,3200,32,32,3034
2017-12-30,2814000000,인천광역시,동구,2,70,1,3,2008,2000,1798,2000,154.4,2.1,2100,13,13,2008
2017-12-30,2814000000,인천광역시,동구,2,70,0,6,2740,2700,2534,2700,203.9,2.9,2800,50,50,2740
2017-12-30,2814000000,인천광역시,동구,2,70,0,2,1881,1900,1682,1900,140,14.5,2000,362,362,1881
2017-12-30,2814000000,인천광역시,동구,2,60,4,9,4211,4300,3484,3700,316.9,1.4,4600,27,27,4211
2017-12-30,2814000000,인천광역시,동구,2,60,4,1,1329,1400,744,0,100,1.6,1600,93,182,679
2017-12-30,2814000000,인천광역시,동구,2,60,3,8,3397,3400,3257,3400,260.2,13.2,3600,31,31,3397
2017-12-30,2814000000,인천광역시,동구,2,60,3,4,2311,2300,1979,2200,177,15.7,2400,54,54,2311
2017-12-30,2814000000,인천광역시,동구,2,60,2,7,,,,,,,,2,2,
2017-12-30,2814000000,인천광역시,동구,2,60,2,0,3774,3800,3182,3148,,100,6600,23,23,3774
2017-12-30,2814000000,인천광역시,동구,2,60,1,7,3079,3100,2635,2954,233.1,12.8,3200,81,81,3079
2017-12-30,2814000000,인천광역시,동구,2,60,0,10,53207,5200,51247,4900,4021,21.2,999900,43,43,53207
2017-12-30,2814000000,인천광역시,동구,2,60,0,6,2773,2800,2556,2700,209.5,10.8,2900,419,419,2773
2017-12-30,2814000000,인천광역시,동구,2,60,0,2,1859,1900,1574,1800,140.5,6,2000,349,349,1859
2017-12-30,2814000000,인천광역시,동구,2,50,4,5,2570,2600,2387,2503,199.1,32.8,2700,1100,1100,2570
2017-12-30,2814000000,인천광역시,동구,2,50,4,1,1290,1300,470,0,100,1.4,1600,93,208,577
2017-12-30,2814000000,인천광역시,동구,2,50,3,8,3425,3400,3094,3300,263.2,17.2,3600,134,134,3425
2017-12-30,2814000000,인천광역시,동구,2,50,3,0,3188,3000,2635,2764,244.9,100,12000,838,838,3188
2017-12-30,2814000000,인천광역시,동구,2,50,2,6,,,,,,,,1,1,
2017-12-30,2814000000,인천광역시,동구,2,50,2,1,,,,,,,,5,5,
2017-12-30,2814000000,인천광역시,동구,2,50,1,4,2357,2400,1775,1825,170.5,1.7,2400,14,14,2357
2017-12-30,2814000000,인천광역시,동구,2,50,1,0,3446,3300,2508,2898,249.2,100,18000,560,560,3446
2017-12-30,2814000000,인천광역시,동구,2,50,0,7,3046,3000,2760,3000,232.8,16.5,3200,733,733,3046
2017-12-30,2814000000,인천광역시,동구,2,40,4,10,6456,5200,4834,4361,493.6,3.5,20000,43,43,6456
2017-12-30,2814000000,인천광역시,동구,2,40,4,6,2770,2800,2502,2700,211.8,18.6,2900,539,539,2770
2017-12-30,2814000000,인천광역시,동구,2,40,4,2,1797,1800,1083,1362,137.4,1.7,2000,74,74,1797
2017-12-30,2814000000,인천광역시,동구,2,40,3,5,2570,2600,2101,2500,192.6,7.8,2700,121,121,2570
2017-12-30,2814000000,인천광역시,동구,2,40,3,1,1334,1400,563,942,100,2.3,1600,70,70,1334
2017-12-30,2814000000,인천광역시,동구,2,40,2,0,4610,4700,3738,4128,,100,10600,96,96,4610
2017-12-30,2814000000,인천광역시,동구,2,40,1,7,3050,3000,2386,2613,245.2,18.5,3200,90,90,3050
2017-12-30,2814000000,인천광역시,동구,2,40,1,3,,,,,,,,7,7,
2017-12-30,2814000000,인천광역시,동구,2,40,0,6,2774,2800,2435,2700,211.8,13.7,2900,689,689,2774
2017-12-30,2814000000,인천광역시,동구,2,40,0,2,1798,1800,965,1313,137.3,1.9,2000,149,149,1798
2017-12-30,2814000000,인천광역시,동구,2,30,4,9,4103,4050,2783,3138,310.6,2.4,4500,36,36,4103
