기준년월,행정동코드,시도명,시군구명,성별,연령별,직업구분,분위구분,평균소득,중위소득,평균처분가능소득,중위처분가능소득,소득분위배율,소득점유율,소득경계값,소득산출인구수,소득미산출인구수,소득미산출인구포함평균소득
2019-06-30,2820000000,인천광역시,남동구,1,40,3,4,2442,2500,1750,2123,190.7,2.8,2600,874,874,2442
2019-06-30,2820000000,인천광역시,남동구,0,80,4,3,2099,2100,1996,2100,140.2,2,2300,73,73,2099
2019-06-30,2814000000,인천광역시,동구,1,0,0,3,2150,2200,1845,2100,151.7,6.9,2300,2534,2534,2150
2019-06-30,2814000000,인천광역시,동구,0,60,4,7,3283,3300,2812,3200,246.9,5.8,3500,263,263,3283
2019-06-30,2814000000,인천광역시,동구,1,20,0,7,3326,3300,3055,3200,229.5,5.2,3500,125,125,3326
2019-06-30,2814000000,인천광역시,동구,2,60,0,7,3292,3300,2828,3200,245.4,8,3500,248,248,3292
2019-06-30,2814000000,인천광역시,동구,0,80,1,1,1500,1500,263,1429,100,100,1500,27,27,1500
2019-06-30,2814000000,인천광역시,동구,0,0,1,10,8767,6700,6446,5700,655.6,21.9,99900,396,396,8767
2019-06-30,2814000000,인천광역시,동구,0,70,1,3,2045,2000,1109,1704,154.3,6.4,2300,29,29,2045
2019-06-30,2814000000,인천광역시,동구,2,80,0,4,,,,,,,,3,3,
2019-06-30,2814000000,인천광역시,동구,0,20,3,0,2563,2200,2226,1900,188.4,100,7600,1372,1372,2563
2019-06-30,2814000000,인천광역시,동구,0,0,3,8,3895,3900,3097,3510,282.8,17,4300,1650,1650,3895
2019-06-30,2814000000,인천광역시,동구,1,80,2,0,,,,,,,,1,1,
2019-06-30,2814000000,인천광역시,동구,2,30,4,2,1896,1900,1670,1897,133.3,4.6,2000,155,155,1896
2019-06-30,2814000000,인천광역시,동구,2,60,1,7,3286,3250,2883,3200,255,28.1,3500,108,108,3286
2019-06-30,2814000000,인천광역시,동구,0,70,2,1,,,,,,,,1,1,
2019-06-30,2814000000,인천광역시,동구,1,80,2,1,,,,,,,,1,1,
2019-06-30,2814000000,인천광역시,동구,0,60,4,3,2165,2200,1996,2100,162.8,21,2300,1446,1446,2165
2019-06-30,2814000000,인천광역시,동구,0,70,0,10,12276,5700,10072,5700,879.2,4,99900,29,29,12276
2019-06-30,2814000000,인천광역시,동구,0,30,0,10,6486,5700,5555,5700,463,13.7,26600,546,546,6486
2019-06-30,2814000000,인천광역시,동구,1,80,4,0,1582,1500,1441,1500,106,100,5700,351,428,1297
2019-06-30,2814000000,인천광역시,동구,2,50,0,7,3280,3300,2788,3200,241.2,14.6,3500,634,634,3280
2019-06-30,2814000000,인천광역시,동구,1,20,1,8,,,,,,,,6,6,
2019-06-30,2814000000,인천광역시,동구,1,80,4,6,,,,,,,,2,2,
2019-06-30,2814000000,인천광역시,동구,2,50,0,9,4938,4900,4240,4500,363.1,10.8,5700,312,312,4938
2019-06-30,2814000000,인천광역시,동구,2,20,0,3,2140,2100,1917,2100,148.3,10.3,2300,373,373,2140
2019-06-30,2814000000,인천광역시,동구,1,70,3,10,,,,,,,,4,4,
2019-06-30,2820000000,인천광역시,남동구,0,30,4,10,6396,5700,5909,5700,467,10.4,99900,2042,2042,6396
2019-06-30,2820000000,인천광역시,남동구,2,90,4,6,,,,,,,,1,1,
2019-06-30,2820000000,인천광역시,남동구,2,90,4,1,,,,,,,,5,346,
2019-06-30,2820000000,인천광역시,남동구,2,90,0,6,,,,,,,,1,1,
2019-06-30,2820000000,인천광역시,남동구,2,90,0,1,,,,,,,,5,346,
2019-06-30,2820000000,인천광역시,남동구,2,80,4,10,5700,5700,5700,5700,380.3,1.5,5700,12,12,5700
2019-06-30,2820000000,인천광역시,남동구,2,80,4,8,,,,,,,,7,7,
2019-06-30,2820000000,인천광역시,남동구,2,80,4,6,,,,,,,,9,9,
2019-06-30,2820000000,인천광역시,남동구,2,80,4,4,2394,2400,2375,2400,159.7,0.9,2500,17,17,2394
2019-06-30,2820000000,인천광역시,남동구,2,80,4,2,1861,1900,1757,1800,124.2,2.8,2000,67,67,1861
2019-06-30,2820000000,인천광역시,남동구,2,80,4,0,1591,1500,1476,1500,106.1,100,5700,2835,3073,1467
2019-06-30,2820000000,인천광역시,남동구,2,80,3,9,,,,,,,,1,1,
2019-06-30,2820000000,인천광역시,남동구,2,80,3,1,1500,1500,1313,1500,100,100,1500,13,13,1500
2019-06-30,2820000000,인천광역시,남동구,2,80,1,10,,,,,,,,3,3,
2019-06-30,2820000000,인천광역시,남동구,2,80,1,6,,,,,,,,1,1,
2019-06-30,2820000000,인천광역시,남동구,2,80,1,4,,,,,,,,1,1,
2019-06-30,2820000000,인천광역시,남동구,2,80,1,0,2184,1500,1609,1500,146.6,100,12300,38,38,2184
2019-06-30,2820000000,인천광역시,남동구,2,80,0,9,5150,5150,4720,5100,343.7,2.7,5700,24,24,5150
2019-06-30,2820000000,인천광역시,남동구,2,80,0,7,3267,3250,1947,3200,218,0.8,3500,12,12,3267
2019-06-30,2820000000,인천광역시,남동구,2,80,0,5,2700,2700,2452,2700,180.2,1,2800,17,17,2700
2019-06-30,2820000000,인천광역시,남동구,2,80,0,3,2097,2100,2020,2000,139.9,1.6,2300,36,36,2097
2019-06-30,2820000000,인천광역시,남동구,2,80,0,1,1499,1500,1385,1500,100,86.8,1600,2682,2920,1376
2019-06-30,2820000000,인천광역시,남동구,2,70,4,10,7503,5700,7375,5700,528.2,2.1,99900,60,60,7503
2019-06-30,2820000000,인천광역시,남동구,2,70,4,8,3882,3900,3629,3800,273.3,2.3,4300,129,129,3882
2019-06-30,2820000000,인천광역시,남동구,2,70,4,6,2943,2900,2484,2900,207.2,2.5,3100,187,187,2943
2019-06-30,2820000000,인천광역시,남동구,2,70,4,4,2426,2400,2265,2400,170.7,13.1,2600,1178,1178,2426
2019-06-30,2820000000,인천광역시,남동구,2,70,4,2,1924,2000,1752,1900,135.4,31.1,2000,3514,3514,1924
2019-06-30,2820000000,인천광역시,남동구,2,70,4,0,2229,2000,2057,2000,156.9,100,99900,9763,10106,2154
2019-06-30,2820000000,인천광역시,남동구,2,70,3,9,,,,,,,,6,6,
2019-06-30,2820000000,인천광역시,남동구,2,70,3,7,3300,3300,2957,3200,237.1,7.7,3500,15,15,3300
2019-06-30,2820000000,인천광역시,남동구,2,90,4,0,,,,,,,,7,348,
2019-06-30,2820000000,인천광역시,남동구,2,70,3,5,2648,2600,2523,2600,190.2,8.6,2800,21,21,2648
2019-06-30,2820000000,인천광역시,남동구,2,70,3,3,2125,2100,1724,2000,152.7,14.5,2300,44,44,2125
2019-06-30,2820000000,인천광역시,남동구,2,90,0,0,,,,,,,,7,348,
2019-06-30,2820000000,인천광역시,남동구,2,70,3,1,1392,1500,851,1074,100,10.4,1600,48,48,1392
2019-06-30,2820000000,인천광역시,남동구,2,70,2,10,,,,,,,,2,2,
2019-06-30,2820000000,인천광역시,남동구,2,80,4,7,3273,3300,1833,3200,218.4,0.8,3500,11,11,3273
2019-06-30,2820000000,인천광역시,남동구,2,70,2,8,,,,,,,,3,3,
2019-06-30,2820000000,인천광역시,남동구,2,70,2,3,,,,,,,,2,2,
2019-06-30,2820000000,인천광역시,남동구,2,80,4,3,2097,2100,2020,2000,139.9,1.7,2300,36,36,2097
2019-06-30,2820000000,인천광역시,남동구,2,70,2,0,3833,4100,3466,3076,,100,6500,12,12,3833
2019-06-30,2820000000,인천광역시,남동구,2,70,1,9,5000,5100,3499,3789,380.7,10.8,5700,31,31,5000
2019-06-30,2820000000,인천광역시,남동구,2,80,3,10,,,,,,,,2,2,
2019-06-30,2820000000,인천광역시,남동구,2,70,1,7,3262,3200,2726,3200,248.4,27.3,3500,120,120,3262
2019-06-30,2820000000,인천광역시,남동구,2,70,1,5,2718,2750,1976,2445,207,4.2,2800,22,22,2718
2019-06-30,2820000000,인천광역시,남동구,2,80,3,0,2353,1500,2135,1500,156.9,100,6600,17,17,2353
2019-06-30,2820000000,인천광역시,남동구,2,70,1,3,2041,2000,1329,1849,155.4,6.6,2300,46,46,2041
2019-06-30,2820000000,인천광역시,남동구,2,70,1,1,1313,1300,-500,547,100,2.7,1600,30,30,1313
2019-06-30,2820000000,인천광역시,남동구,2,80,1,5,,,,,,,,2,2,
2019-06-30,2820000000,인천광역시,남동구,2,70,0,10,7576,5700,6747,5700,536.7,2.8,99900,88,88,7576
2019-06-30,2820000000,인천광역시,남동구,2,70,0,8,3860,3800,3353,3700,273.4,3.4,4300,211,211,3860
2019-06-30,2820000000,인천광역시,남동구,2,80,0,10,6165,5700,5966,5700,411.4,2.3,12300,17,17,6165
2019-06-30,2820000000,인천광역시,남동구,2,70,0,6,2947,2900,2335,2800,208.8,3.1,3100,249,249,2947
2019-06-30,2820000000,인천광역시,남동구,2,70,0,4,2426,2400,2253,2400,171.9,12.3,2600,1215,1215,2426
2019-06-30,2820000000,인천광역시,남동구,2,80,0,6,2950,2900,2950,2900,196.9,0.6,3100,10,10,2950
2019-06-30,2820000000,인천광역시,남동구,2,70,0,2,1923,2000,1736,1900,136.2,29.4,2000,3657,3657,1923
2019-06-30,2820000000,인천광역시,남동구,2,70,0,0,2275,2000,2060,2000,161.2,100,99900,10502,10845,2203
2019-06-30,2820000000,인천광역시,남동구,2,80,0,2,1861,1900,1757,1800,124.2,2.7,2000,67,67,1861
2019-06-30,2820000000,인천광역시,남동구,2,60,4,9,4884,4700,4415,4600,364.8,7.5,5700,830,830,4884
2019-06-30,2820000000,인천광역시,남동구,2,60,4,7,3289,3300,2649,3200,245.6,5.5,3500,913,913,3289
2019-06-30,2820000000,인천광역시,남동구,2,70,4,9,4987,4950,4803,4800,351,3.9,5700,172,172,4987
2019-06-30,2820000000,인천광역시,남동구,2,60,4,5,2679,2700,2436,2600,200.1,16.3,2800,3298,3298,2679
2019-06-30,2820000000,인천광역시,남동구,2,60,4,3,2169,2200,1978,2100,162,18.9,2300,4727,4727,2169
2019-06-30,2820000000,인천광역시,남동구,2,70,4,5,2646,2600,2498,2600,186.3,9.8,2800,810,810,2646
2019-06-30,2820000000,인천광역시,남동구,2,60,4,1,1339,1300,705,0,100,1.7,1700,669,1524,588
2019-06-30,2820000000,인천광역시,남동구,2,60,3,10,6920,6000,5637,5700,505.6,10,16000,127,127,6920
2019-06-30,2820000000,인천광역시,남동구,2,70,4,1,1421,1500,1026,396,100,2.8,1700,426,769,787
2019-06-30,2820000000,인천광역시,남동구,2,60,3,8,3871,3900,3275,3622,282.8,15.4,4300,349,349,3871
2019-06-30,2820000000,인천광역시,남동구,2,60,3,6,2965,3000,2451,2850,216.6,11.8,3100,349,349,2965
2019-06-30,2820000000,인천광역시,남동구,2,70,3,8,3792,3800,2768,3700,272.5,7.6,4200,13,13,3792
2019-06-30,2820000000,인천광역시,남동구,2,60,3,4,2427,2400,1921,2300,177.3,10,2600,362,362,2427
