기준년월,행정동코드,시도명,시군구명,성별,연령별,직업구분,분위구분,평균소득,중위소득,평균처분가능소득,중위처분가능소득,소득분위배율,소득점유율,소득경계값,소득산출인구수,소득미산출인구수,소득미산출인구포함평균소득
2020-03-31,2814000000,인천광역시,동구,1,40,3,10,7437,6600,5055,5203,455.3,30.2,99900,319,319,7437
2020-03-31,2814000000,인천광역시,동구,1,40,0,6,3066,3100,2380,2785,182.5,10.8,3200,732,732,3066
2020-03-31,2814000000,인천광역시,동구,2,70,3,5,,,,,,,,2,2,
2020-03-31,2814000000,인천광역시,동구,2,50,2,4,,,,,,,,3,3,
2020-03-31,2814000000,인천광역시,동구,2,30,4,5,2769,2700,2374,2700,160,9.8,2900,213,213,2769
2020-03-31,2814000000,인천광역시,동구,2,40,4,2,2055,2100,1412,1550,,1.2,2100,51,51,2055
2020-03-31,2814000000,인천광역시,동구,2,40,1,0,4065,3400,2952,2791,,100,31600,395,395,4065
2020-03-31,2814000000,인천광역시,동구,2,40,3,1,,,,,,,,6,6,
2020-03-31,2814000000,인천광역시,동구,2,30,0,5,2779,2800,2287,2700,168.8,8.8,2900,346,346,2779
2020-03-31,2814000000,인천광역시,동구,2,20,3,6,3079,3100,2787,3000,210.2,6.2,3200,39,39,3079
2020-03-31,2814000000,인천광역시,동구,2,70,1,2,1992,2000,1757,2000,,19.7,2100,26,26,1992
2020-03-31,2814000000,인천광역시,동구,2,30,4,4,2534,2500,2146,2469,146.4,13.7,2700,324,324,2534
2020-03-31,2814000000,인천광역시,동구,2,15,4,1,1750,1800,1733,0,100,78.3,1900,405,818,867
2020-03-31,2814000000,인천광역시,동구,2,60,1,10,8594,7550,4726,5800,,10.6,20700,18,18,8594
2020-03-31,2814000000,인천광역시,동구,1,30,2,1,,,,,,,,5,5,
2020-03-31,2814000000,인천광역시,동구,2,40,2,7,,,,,,,,4,4,
2020-03-31,2814000000,인천광역시,동구,2,0,0,5,2780,2800,2384,2700,167.1,10.5,2900,2475,2475,2780
2020-03-31,2814000000,인천광역시,동구,1,40,0,10,7313,6500,5329,5625,435.3,24,99900,685,685,7313
2020-03-31,2814000000,인천광역시,동구,1,70,3,1,1688,1700,1435,1631,100,9.9,1900,26,26,1688
2020-03-31,2814000000,인천광역시,동구,2,20,3,4,2539,2500,2128,2400,173.3,7.8,2700,59,59,2539
2020-03-31,2814000000,인천광역시,동구,2,50,0,7,3393,3400,2849,3200,,13.6,3700,580,580,3393
