기준년월,행정동코드,시도명,시군구명,성별,연령별,직업구분,분위구분,평균소득,중위소득,평균처분가능소득,중위처분가능소득,소득분위배율,소득점유율,소득경계값,소득산출인구수,소득미산출인구수,소득미산출인구포함평균소득
2019-03-31,2820000000,인천광역시,남동구,1,30,4,8,3883,3900,2991,3378,278.2,9.8,4300,1527,1527,3883
2019-03-31,2820000000,인천광역시,남동구,0,70,4,7,3268,3300,2663,3200,228.8,2.8,3500,332,332,3268
2019-03-31,2814000000,인천광역시,동구,0,70,1,9,,,,,,,,6,6,
2019-03-31,2814000000,인천광역시,동구,1,30,1,10,6890,6100,4788,5700,508,25.2,12600,40,40,6890
2019-03-31,2814000000,인천광역시,동구,2,40,0,5,2678,2700,2380,2600,195.5,15.3,2800,822,822,2678
2019-03-31,2814000000,인천광역시,동구,1,70,3,0,2681,2400,2365,2096,179.8,100,23200,140,140,2681
2019-03-31,2814000000,인천광역시,동구,2,60,3,0,2776,2500,2371,2300,202.1,100,9400,361,361,2776
2019-03-31,2814000000,인천광역시,동구,2,70,1,4,,,,,,,,7,7,
2019-03-31,2814000000,인천광역시,동구,0,0,1,9,4921,4900,3597,4376,363.3,15.1,5700,477,477,4921
2019-03-31,2814000000,인천광역시,동구,1,50,4,9,4924,4850,4104,4405,372.4,11.4,5700,198,198,4924
2019-03-31,2814000000,인천광역시,동구,2,60,3,1,1373,1400,736,840,100,5.6,1700,41,41,1373
2019-03-31,2814000000,인천광역시,동구,2,60,3,5,2676,2700,2306,2600,194.9,12.3,2800,46,46,2676
2019-03-31,2814000000,인천광역시,동구,0,0,4,8,3849,3800,3207,3600,259.5,7.1,4300,1520,1520,3849
2019-03-31,2814000000,인천광역시,동구,1,50,3,8,3891,3900,3119,3504,304.6,19.7,4300,270,270,3891
2019-03-31,2814000000,인천광역시,동구,1,80,1,7,,,,,,,,1,1,
2019-03-31,2814000000,인천광역시,동구,2,0,1,1,1381,1400,-188,384,100,2.6,1700,108,108,1381
2019-03-31,2814000000,인천광역시,동구,0,70,3,10,,,,,,,,4,4,
2019-03-31,2814000000,인천광역시,동구,2,80,0,0,1561,1500,1438,1500,104.2,100,5700,528,581,1418
2019-03-31,2814000000,인천광역시,동구,1,40,0,3,2195,2200,1369,1928,170,2.3,2300,211,211,2195
2019-03-31,2820000000,인천광역시,남동구,0,30,1,3,2174,2200,984,1443,162.3,2.9,2300,302,302,2174
2019-03-31,2820000000,인천광역시,남동구,2,90,4,3,,,,,,,,2,2,
2019-03-31,2820000000,인천광역시,남동구,2,90,4,1,,,,,,,,9,317,
2019-03-31,2820000000,인천광역시,남동구,2,90,0,3,,,,,,,,2,2,
2019-03-31,2820000000,인천광역시,남동구,2,90,0,1,,,,,,,,9,317,
2019-03-31,2820000000,인천광역시,남동구,2,80,4,10,5700,5700,5700,5700,380.4,1.5,5700,11,11,5700
2019-03-31,2820000000,인천광역시,남동구,2,80,4,8,,,,,,,,8,8,
2019-03-31,2820000000,인천광역시,남동구,2,80,4,6,,,,,,,,9,9,
2019-03-31,2820000000,인천광역시,남동구,2,80,4,4,2393,2400,2377,2400,159.7,0.8,2500,14,14,2393
2019-03-31,2820000000,인천광역시,남동구,2,80,4,2,1893,1900,1796,1900,126.3,3.2,2000,70,70,1893
2019-03-31,2820000000,인천광역시,남동구,2,80,4,0,1588,1500,1479,1500,105.9,100,5700,2633,2870,1457
2019-03-31,2820000000,인천광역시,남동구,2,80,3,9,,,,,,,,1,1,
2019-03-31,2820000000,인천광역시,남동구,2,80,3,1,1500,1500,1266,1500,100,100,1500,16,16,1500
2019-03-31,2820000000,인천광역시,남동구,2,80,1,10,,,,,,,,3,3,
2019-03-31,2820000000,인천광역시,남동구,2,80,1,6,,,,,,,,1,1,
2019-03-31,2820000000,인천광역시,남동구,2,80,1,4,,,,,,,,1,1,
2019-03-31,2820000000,인천광역시,남동구,2,80,1,2,,,,,,,,1,1,
2019-03-31,2820000000,인천광역시,남동구,2,80,1,0,2200,1500,1398,1500,146.7,100,12300,38,38,2200
2019-03-31,2820000000,인천광역시,남동구,2,80,0,9,5273,5500,4502,5134,351.9,1.8,5700,15,15,5273
2019-03-31,2820000000,인천광역시,남동구,2,80,0,7,3267,3200,2211,3200,218,1.1,3500,15,15,3267
2019-03-31,2820000000,인천광역시,남동구,2,80,0,5,2715,2700,2390,2600,181.2,0.8,2800,13,13,2715
2019-03-31,2820000000,인천광역시,남동구,2,80,0,3,2090,2050,2023,2000,139.5,1.9,2300,40,40,2090
2019-03-31,2820000000,인천광역시,남동구,2,80,0,1,1499,1500,1389,1500,100,86.5,1700,2486,2723,1368
2019-03-31,2820000000,인천광역시,남동구,2,70,4,10,6111,5700,6066,5700,420.3,1.9,18100,63,63,6111
2019-03-31,2820000000,인천광역시,남동구,2,70,4,8,3849,3800,3550,3700,264.7,1.9,4300,104,104,3849
2019-03-31,2820000000,인천광역시,남동구,2,70,4,6,2937,2900,2372,2800,202,2.6,3100,185,185,2937
2019-03-31,2820000000,인천광역시,남동구,2,70,4,4,2433,2500,2279,2400,167.3,13.1,2600,1116,1116,2433
2019-03-31,2820000000,인천광역시,남동구,2,70,4,2,1931,2000,1766,1962,132.8,32.1,2000,3451,3451,1931
2019-03-31,2820000000,인천광역시,남동구,2,70,4,0,2215,2000,2040,2000,152.4,100,18100,9373,9715,2137
2019-03-31,2820000000,인천광역시,남동구,2,70,3,9,,,,,,,,6,6,
2019-03-31,2820000000,인천광역시,남동구,2,90,4,0,1638,1500,1569,0,109.2,100,2300,13,321,66
2019-03-31,2820000000,인천광역시,남동구,2,70,3,7,3264,3200,2965,3126,229.8,7.1,3500,14,14,3264
2019-03-31,2820000000,인천광역시,남동구,2,70,3,5,2659,2600,2443,2600,187.1,7,2800,17,17,2659
2019-03-31,2820000000,인천광역시,남동구,2,90,0,0,1638,1500,1569,0,109.2,100,2300,13,321,66
2019-03-31,2820000000,인천광역시,남동구,2,70,3,3,2111,2100,1735,1903,148.6,14.5,2300,44,44,2111
2019-03-31,2820000000,인천광역시,남동구,2,70,3,1,1421,1500,831,1087,100,11.7,1700,53,53,1421
2019-03-31,2820000000,인천광역시,남동구,2,80,4,7,3267,3200,2211,3200,218,1.2,3500,15,15,3267
2019-03-31,2820000000,인천광역시,남동구,2,70,2,10,,,,,,,,2,2,
2019-03-31,2820000000,인천광역시,남동구,2,70,2,8,,,,,,,,4,4,
2019-03-31,2820000000,인천광역시,남동구,2,80,4,3,2087,2000,2018,2000,139.3,1.9,2300,39,39,2087
2019-03-31,2820000000,인천광역시,남동구,2,70,2,3,,,,,,,,2,2,
2019-03-31,2820000000,인천광역시,남동구,2,70,2,0,3855,4000,3421,3253,,100,6500,11,11,3855
2019-03-31,2820000000,인천광역시,남동구,2,80,3,10,,,,,,,,2,2,
2019-03-31,2820000000,인천광역시,남동구,2,70,1,9,4974,4900,3770,4506,379.8,12.9,5700,35,35,4974
2019-03-31,2820000000,인천광역시,남동구,2,70,1,7,3278,3300,2719,3200,250.3,27.9,3500,115,115,3278
2019-03-31,2820000000,인천광역시,남동구,2,80,3,0,2215,1500,1942,1500,147.7,100,6600,20,20,2215
2019-03-31,2820000000,인천광역시,남동구,2,70,1,5,2719,2750,1468,2476,207.6,5.2,2800,26,26,2719
2019-03-31,2820000000,인천광역시,남동구,2,70,1,3,2050,2000,1444,2000,156.5,6.7,2200,44,44,2050
2019-03-31,2820000000,인천광역시,남동구,2,80,1,5,,,,,,,,1,1,
2019-03-31,2820000000,인천광역시,남동구,2,70,1,1,1310,1300,-637,95,100,3,1600,31,31,1310
2019-03-31,2820000000,인천광역시,남동구,2,70,0,10,6585,5700,5984,5700,456.1,2.5,18700,85,85,6585
2019-03-31,2820000000,인천광역시,남동구,2,80,1,1,1500,1500,824,1500,100,64.3,1500,29,29,1500
2019-03-31,2820000000,인천광역시,남동구,2,70,0,8,3851,3800,3292,3700,266.8,2.9,4300,174,174,3851
2019-03-31,2820000000,인천광역시,남동구,2,70,0,6,2941,2900,2310,2800,203.7,3.2,3100,250,250,2941
2019-03-31,2820000000,인천광역시,남동구,2,80,0,8,,,,,,,,9,9,
2019-03-31,2820000000,인천광역시,남동구,2,70,0,4,2434,2500,2271,2400,168.6,12.3,2600,1153,1153,2434
2019-03-31,2820000000,인천광역시,남동구,2,70,0,2,1930,2000,1750,1907,133.7,30.4,2000,3586,3586,1930
2019-03-31,2820000000,인천광역시,남동구,2,80,0,4,2394,2400,2154,2400,159.7,0.9,2500,16,16,2394
2019-03-31,2820000000,인천광역시,남동구,2,70,0,0,2259,2000,2043,2000,156.5,100,18700,10091,10433,2185
2019-03-31,2820000000,인천광역시,남동구,2,60,4,9,4883,4800,4421,4500,359.3,7.2,5700,770,770,4883
2019-03-31,2820000000,인천광역시,남동구,2,80,0,0,1601,1500,1481,1500,106.8,100,12300,2691,2928,1471
2019-03-31,2820000000,인천광역시,남동구,2,60,4,7,3269,3300,2645,3180,240.5,5.5,3500,876,876,3269
2019-03-31,2820000000,인천광역시,남동구,2,60,4,5,2677,2700,2442,2600,197,16.2,2800,3178,3178,2677
2019-03-31,2820000000,인천광역시,남동구,2,70,4,7,3272,3300,2688,3200,225,2,3500,127,127,3272
2019-03-31,2820000000,인천광역시,남동구,2,60,4,3,2171,2200,1974,2100,159.7,19.6,2300,4748,4748,2171
2019-03-31,2820000000,인천광역시,남동구,2,60,4,1,1359,1400,719,0,100,1.8,1700,698,1519,624
2019-03-31,2820000000,인천광역시,남동구,2,70,4,3,2100,2100,1974,2100,144.5,29.1,2300,2877,2877,2100
