기준년월,행정동코드,시도명,시군구명,성별,연령별,직업구분,분위구분,평균소득,중위소득,평균처분가능소득,중위처분가능소득,소득분위배율,소득점유율,소득경계값,소득산출인구수,소득미산출인구수,소득미산출인구포함평균소득
2020-06-30,2814000000,인천광역시,동구,2,80,4,3,,,,,,,,4,4,
2020-06-30,2814000000,인천광역시,동구,1,60,0,3,2292,2300,2059,2200,131.2,13.5,2400,723,723,2292
2020-06-30,2814000000,인천광역시,동구,2,30,3,6,3083,3100,2352,2728,192,9.6,3200,121,121,3083
2020-06-30,2814000000,인천광역시,동구,2,30,0,7,3441,3400,2817,3300,208.9,9,3700,276,276,3441
2020-06-30,2814000000,인천광역시,동구,1,0,3,4,2569,2600,1989,2268,167.3,4.9,2700,435,435,2569
2020-06-30,2814000000,인천광역시,동구,2,20,2,8,,,,,,,,9,9,
2020-06-30,2814000000,인천광역시,동구,1,70,1,8,3914,3900,3128,3711,,12.6,4400,22,22,3914
2020-06-30,2814000000,인천광역시,동구,2,20,0,2,1970,1900,1801,1900,115.4,13.5,2100,505,505,1970
2020-06-30,2814000000,인천광역시,동구,1,80,4,9,,,,,,,,2,2,
2020-06-30,2814000000,인천광역시,동구,2,50,0,1,,,,,,,,2,31,
2020-06-30,2814000000,인천광역시,동구,1,15,4,3,2248,2200,2246,2200,129,5.6,2400,21,21,2248
2020-06-30,2814000000,인천광역시,동구,2,0,0,10,6900,5800,6065,5800,413.1,8.1,88400,768,768,6900
2020-06-30,2814000000,인천광역시,동구,1,50,2,10,8120,7450,6418,6500,,81.1,13000,114,114,8120
2020-06-30,2814000000,인천광역시,동구,2,20,4,2,1963,1900,1843,1900,112.1,15.8,2100,412,412,1963
2020-06-30,2814000000,인천광역시,동구,2,15,0,4,,,,,,,,5,5,
2020-06-30,2814000000,인천광역시,동구,1,90,0,0,,,,,,,,2,52,
2020-06-30,2814000000,인천광역시,동구,2,30,2,1,,,,,,,,2,2,
2020-06-30,2814000000,인천광역시,동구,1,50,1,9,5113,5100,3852,4371,,19.3,5800,123,123,5113
2020-06-30,2814000000,인천광역시,동구,0,90,4,0,,,,,,,,4,125,
2020-06-30,2814000000,인천광역시,동구,0,80,4,9,,,,,,,,4,4,
2020-06-30,2814000000,인천광역시,동구,0,80,4,5,,,,,,,,4,4,
2020-06-30,2814000000,인천광역시,동구,0,80,3,0,1590,1500,1451,1500,106,100,2400,10,10,1590
2020-06-30,2814000000,인천광역시,동구,0,80,1,7,,,,,,,,1,1,
2020-06-30,2814000000,인천광역시,동구,0,80,0,9,,,,,,,,5,5,
2020-06-30,2814000000,인천광역시,동구,0,80,0,1,1503,1500,1375,1500,100,89.4,1900,934,1103,1273
2020-06-30,2814000000,인천광역시,동구,0,70,4,8,4088,4000,3939,3900,234,1.3,4500,25,25,4088
2020-06-30,2814000000,인천광역시,동구,0,70,4,4,2551,2500,2450,2500,146,19.6,2700,598,598,2551
2020-06-30,2814000000,인천광역시,동구,0,70,3,7,3450,3400,3223,3400,205.3,8.3,3600,14,14,3450
2020-06-30,2814000000,인천광역시,동구,0,70,3,3,2267,2300,1880,2200,134.9,8.2,2400,21,21,2267
2020-06-30,2814000000,인천광역시,동구,0,70,2,10,,,,,,,,1,1,
2020-06-30,2814000000,인천광역시,동구,0,70,1,10,12167,8600,8572,6547,,14.9,24100,12,12,12167
2020-06-30,2814000000,인천광역시,동구,0,70,1,6,3076,3100,2728,3000,,24.5,3200,78,78,3076
2020-06-30,2814000000,인천광역시,동구,0,70,1,2,2001,2000,1311,1903,,14.3,2100,70,70,2001
2020-06-30,2814000000,인천광역시,동구,0,70,0,5,2774,2800,2404,2700,159.7,5.3,2900,180,180,2774
2020-06-30,2814000000,인천광역시,동구,0,70,0,1,1737,1800,1518,1307,100,6.2,1900,334,545,1065
2020-06-30,2814000000,인천광역시,동구,0,60,4,8,4075,4100,3550,3800,233.7,4.8,4500,180,180,4075
2020-06-30,2814000000,인천광역시,동구,0,60,4,0,2643,2500,2417,2300,151.6,100,19800,5808,6020,2550
2020-06-30,2814000000,인천광역시,동구,0,60,3,7,3447,3400,2982,3300,204.6,12.7,3700,131,131,3447
2020-06-30,2814000000,인천광역시,동구,0,60,3,3,2293,2300,1814,2078,136.1,8.5,2400,132,132,2293
2020-06-30,2814000000,인천광역시,동구,0,60,2,6,,,,,,,,4,4,
2020-06-30,2814000000,인천광역시,동구,0,60,2,0,5032,4700,4624,4370,,100,13300,73,73,5032
2020-06-30,2814000000,인천광역시,동구,0,60,1,7,3430,3400,2801,3200,,21.2,3700,240,240,3430
2020-06-30,2814000000,인천광역시,동구,0,60,0,10,7732,6500,6304,5800,447.1,7,39700,211,211,7732
2020-06-30,2814000000,인천광역시,동구,0,60,0,6,3075,3100,2689,3000,177.8,11.1,3200,837,837,3075
2020-06-30,2814000000,인천광역시,동구,0,60,0,2,2024,2000,1838,2000,117,8.9,2100,1024,1024,2024
2020-06-30,2814000000,인천광역시,동구,0,50,4,5,2786,2800,2398,2700,,16.5,2900,1030,1030,2786
2020-06-30,2814000000,인천광역시,동구,0,50,4,1,,,,,,,,2,119,
2020-06-30,2814000000,인천광역시,동구,0,50,3,8,4055,4000,3354,3709,,18.8,4500,421,421,4055
2020-06-30,2814000000,인천광역시,동구,0,50,2,10,8018,7350,6401,6422,,72.5,13000,128,128,8018
2020-06-30,2814000000,인천광역시,동구,0,50,2,6,,,,,,,,2,2,
2020-06-30,2814000000,인천광역시,동구,0,50,2,0,6621,6400,5309,5341,,100,13000,216,216,6621
2020-06-30,2814000000,인천광역시,동구,0,50,1,3,2290,2300,1170,1451,,1.3,2400,30,30,2290
2020-06-30,2814000000,인천광역시,동구,0,50,0,9,5126,5100,4315,4600,,13.4,5800,869,869,5126
2020-06-30,2814000000,인천광역시,동구,0,40,4,8,4070,4100,3291,3762,,10,4500,427,427,4070
2020-06-30,2814000000,인천광역시,동구,0,40,4,4,2577,2600,2296,2500,,19.4,2700,1312,1312,2577
2020-06-30,2814000000,인천광역시,동구,0,40,4,0,3281,2900,2816,2647,,100,13300,5307,5370,3242
2020-06-30,2814000000,인천광역시,동구,0,40,3,3,2310,2300,1676,1996,131.3,4.2,2400,220,220,2310
2020-06-30,2814000000,인천광역시,동구,0,40,2,10,7460,6700,5381,5522,,58.2,23600,164,164,7460
2020-06-30,2814000000,인천광역시,동구,0,40,2,6,,,,,,,,5,5,
2020-06-30,2814000000,인천광역시,동구,0,40,1,9,5189,5200,3463,4232,,15.8,5800,137,137,5189
2020-06-30,2814000000,인천광역시,동구,0,40,1,5,2823,2800,1843,2153,,4.6,2900,73,73,2823
2020-06-30,2814000000,인천광역시,동구,0,40,1,1,,,,,,,,1,1,
2020-06-30,2814000000,인천광역시,동구,0,40,0,4,2574,2600,2225,2500,155.7,11.4,2700,1596,1596,2574
2020-06-30,2814000000,인천광역시,동구,0,40,0,0,3720,3200,2943,2700,224.9,100,99900,9707,9770,3696
2020-06-30,2814000000,인천광역시,동구,0,30,4,7,3428,3400,2901,3300,193,7.3,3700,246,246,3428
2020-06-30,2814000000,인천광역시,동구,0,30,3,10,6554,5900,5308,5800,409.6,12.4,27600,169,169,6554
2020-06-30,2814000000,인천광역시,동구,0,30,3,6,3085,3100,2257,2500,192.8,9.1,3200,264,264,3085
2020-06-30,2814000000,인천광역시,동구,0,30,3,2,2004,2000,1531,1780,125.3,6.1,2100,272,272,2004
2020-06-30,2814000000,인천광역시,동구,0,30,2,5,2840,2850,2280,2358,181.3,1.7,2900,10,10,2840
2020-06-30,2814000000,인천광역시,동구,0,30,2,1,,,,,,,,9,9,
2020-06-30,2814000000,인천광역시,동구,0,30,1,8,4023,4000,2230,2892,247.8,16.2,4500,65,65,4023
2020-06-30,2814000000,인천광역시,동구,0,30,1,0,3387,3000,2263,2163,208.6,100,14800,477,477,3387
2020-06-30,2814000000,인천광역시,동구,0,30,0,7,3437,3400,2664,3015,210.1,8.6,3700,592,592,3437
2020-06-30,2814000000,인천광역시,동구,0,30,0,3,2292,2300,1969,2200,140.1,13.7,2400,1420,1420,2292
2020-06-30,2814000000,인천광역시,동구,0,20,4,6,3069,3100,2830,3000,175.9,3.6,3200,127,127,3069
2020-06-30,2814000000,인천광역시,동구,0,20,4,2,1962,1900,1835,1900,112.5,15.8,2100,864,864,1962
2020-06-30,2814000000,인천광역시,동구,0,20,3,9,5190,5150,4952,5020,354,17.3,5800,124,124,5190
2020-06-30,2814000000,인천광역시,동구,0,20,3,1,1466,1500,1193,1271,100,17.1,1900,434,434,1466
2020-06-30,2814000000,인천광역시,동구,0,20,2,8,4095,4100,3519,3800,295.5,15.3,4500,20,20,4095
2020-06-30,2814000000,인천광역시,동구,0,20,2,4,2546,2500,2206,2408,183.7,6.2,2600,13,13,2546
2020-06-30,2814000000,인천광역시,동구,0,20,1,7,,,,,,,,8,8,
2020-06-30,2814000000,인천광역시,동구,0,20,1,3,2269,2200,1491,1416,138.3,9.8,2400,16,16,2269
2020-06-30,2814000000,인천광역시,동구,0,20,0,10,6824,5800,6612,5800,400.6,5.6,94100,126,126,6824
2020-06-30,2814000000,인천광역시,동구,0,20,0,2,1969,1900,1791,1900,115.6,13.6,2100,1056,1056,1969
2020-06-30,2814000000,인천광역시,동구,0,15,4,8,,,,,,,,4,4,
2020-06-30,2814000000,인천광역시,동구,0,15,4,4,2554,2600,2547,2600,146.1,1.9,2600,13,13,2554
2020-06-30,2820000000,인천광역시,남동구,2,80,1,3,,,,,,,,1,1,
2020-06-30,2814000000,인천광역시,동구,0,15,3,4,,,,,,,,2,2,
2020-06-30,2814000000,인천광역시,동구,0,15,3,0,3091,2500,3063,2500,215.6,100,5800,11,11,3091
2020-06-30,2814000000,인천광역시,동구,0,15,0,7,,,,,,,,6,6,
2020-06-30,2814000000,인천광역시,동구,0,0,4,10,6719,5800,6100,5800,395.2,6.1,88400,756,756,6719
