cus_tpc,ag_cnm,sex_dsc,jobnm,waa_provnm,gen_cwnm,sal_gugan,sum_sal,nps_am,mil_am,tp_am,geps_am,rvgtp_bac,rvgtp_bcsr_isrfe_aam,dffm_bac,ts_bac,be_bac,dffm_bcsr_isrfe_aam,frnd_bac,hh_am,gagye_am,dambo_am,gagye_ovd,dambo_ovd,jutaek_bac,sinyoung_bac,gita_bac,ejubi_bac,jungdogem_bac,jangem_bac,jutaekdambo_bac,jensaejagem_bac,jutaekgita_bac,woorsy_bac,gitasiny_bac,gitadambo_bac,jutaek_ovd,sinyoung_ovd,gita_ovd,ejubi_ovd,jungdogem_ovd,jangem_ovd,jutaekdambo_ovd,jensaejagem_ovd,jutaekgita_ovd,woorsy_ovd,gitasiny_ovd,gitadambo_ovd,ccd_us_cn,crdsel_us_cn,ocepay_us_cn,dome_ocepay_us_cn,fr_ocepay_us_cn,ist_us_cn,nint_ist_us_cn,chsv_us_cn,cdln_us_cn,chk_cd_us_cn,chk_cd_ocepay_us_cn,dome_chk_cd_ocepay_us_cn,fr_chk_cd_ocepay_us_cn,ltpy_traf_us_cn,hips_us_cn,msf_cd_us_am,fam_cd_us_am,ccd_us_am,crdsel_us_am,ocepay_us_am,dome_ocepay_us_am,fr_ocepay_us_am,ist_us_am,nint_ist_us_am,chsv_us_am,cdln_us_am,chk_cd_us_am,chk_cd_ocepay_us_am,dome_chk_cd_ocepay_us_am,fr_chk_cd_ocepay_us_am,ltpy_traf_us_am,hips_us_am
1,60대,1,교사,강원,고성군,500만원미만,4376701.5,0,0,0,21959627.5,1950000,1875000,0,0,0,0,3716720.75,1950000,50899246.25,15000000,0,0,0,35899246.25,15000000,0,0,0,0,0,0,31496192.25,4403054,15000000,0,0,0,0,0,0,0,0,0,0,0,0,10.7291665,10.7291665,10.6041665,10.58333325,0.02083325,0.125,0.1041665,0,0,15.52083325,15.52083325,15.52083325,0,0.375,0.45833325,896975.1875,0,458626.4375,458626.4375,368925.8125,364372.875,4552.9375,89700.625,55325.625,0,0,438348.75,438348.75,438348.75,0,11783.33333,2858.333333
1,60대,1,교사,경남,합천군,500만원이상,6781100.4,0,0,2689000,0,1644000,0,0,2400000,0,0,2338083.2,4000,1830288.2,0,0,0,0,1830288.2,0,0,0,0,0,0,0,0,1830288.2,0,0,0,0,0,0,0,0,0,0,0,0,0,5.483333,5.483333,5.3333332,5.3333332,0,0.15,0.1166666,0,0,5.2833332,5.2833332,5.2833332,0,0.1333334,0.05,423214.45,11639.5,259955.2333,259955.2333,159033.0667,159033.0667,0,100922.1667,95082.16667,0,0,174898.7167,174898.7167,174898.7167,0,2070,446.666667
1,20대,2,교사,전북,군산시,300만원미만,2635201.541,0,0,0,0,4312889.787,45081.96721,116393.4426,169573.7705,151407.4098,0,2731570.59,1426939.18,1509898.771,442622.9508,0,0,442622.9508,1067275.82,0,0,0,0,0,442622.9508,0,290000,777275.8197,0,0,0,0,0,0,0,0,0,0,0,0,0,10.65710382,10.65573771,10.42213113,9.331967197,0.090163918,0.233606541,0.228142066,0.001366115,0,11.10109292,11.10109292,11.00956285,0.091530066,0.222677607,0.02732241,519636.7609,0,294281.918,294213.612,237826.1585,208760.2787,6749.092896,56387.45355,49767.48087,68.306011,0,225354.8429,225354.8429,222652.7295,2702.113388,1109.726776,124.453552
1,50대,1,회사원,경북,상주시,500만원이상,6986325.381,239430,0,1904761.905,391871.4286,4167671.286,391137.3016,7118995.397,33043620.25,9607840.825,1796.190476,21634431.17,2076962.857,36958268.3,18741079.89,0,0,9077301.587,18217188.41,9663778.302,0,1996190.476,0,6820634.921,0,260476.1905,8325424,9891764.413,9663778.302,0,0,0,0,0,0,0,0,0,0,0,0,12.34920637,12.3346561,12.20767194,10.08994705,0.027777778,0.126984079,0.124338571,0.014550254,0,10.31349205,10.31349205,10.3121693,0.001322746,0.133597841,0.503968222,1007923.106,11519.28175,682857.9325,668902.9061,596272.7897,515068.8624,1299.62963,72630.1164,47944.93122,13955.02646,0,336584.455,336584.455,335328.8399,1255.615079,1292.791005,3131.534392
3,40대,1,개인사업자,경북,청송군,500만원이상,7079893,2787145,0,0,0,75000,0,0,1312041,0,0,27657009.63,75000,11875000,11875000,0,0,11875000,0,0,0,0,0,11875000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.239583375,2.072916625,2.03125,2.03125,0,0.041666625,0.041666625,0.166666625,0,6.385416625,6.385416625,6.385416625,0,0,0,634563.0729,0,504845.1042,145470.1042,132988.9583,132988.9583,0,12481.14583,12481.14583,359375,0,180547.2396,180547.2396,180547.2396,0,0,0
1,50대,2,소방공무원,경남,김해시,500만원이상,7512134,179540,0,0,0,20000,0,0,14300000,0,0,9076068,20000,9453334,0,0,0,0,9453334,0,0,0,0,0,0,0,0,9453334,0,0,0,0,0,0,0,0,0,0,0,0,0,43.5,43.5,41.583333,41.583333,0,1.916667,1.916667,0,0,6.666667,6.666667,6.666667,0,0.083333,0,2196095.667,0,1874054,1874054,1536633.167,1536633.167,0,337420.8333,337420.8333,0,0,322041.6667,322041.6667,322041.6667,0,216.666667,0
1,60대,1,교사,경북,영주시,500만원미만,4607226.6,0,0,0,26289432,2440000,0,0,0,0,0,26864282.6,2440000,31184181.6,26000000,0,0,0,5184181.6,26000000,0,0,0,0,0,0,0,5184181.6,26000000,0,0,0,0,0,0,0,0,0,0,0,0,4.1833336,4.1833336,4.15,4.15,0,0.0333332,0.0333332,0,0,10.8,10.8,10.8,0,0.1833334,0.1833334,423822.5333,98179.78333,149034.3333,149034.3333,114158.5,114158.5,0,34875.83333,34875.83333,0,0,372967.9833,372967.9833,372967.9833,0,6628.333333,1748.333333
1,50대,2,일반공무원,서울,중구,500만원미만,4559013.875,0,0,0,0,7686250,6329241.25,2500000,3855000,11695641.13,0,3326085.625,3837500,101277907,47758442.5,0,0,47758442.5,53519464.5,0,0,0,24375000,0,23383442.5,0,26987500,26531964.5,0,0,0,0,0,0,0,0,0,0,0,0,0,16.57291675,16.57291675,16.32291675,16.30208325,0.010416625,0.249999875,0.229166625,0,0,0.072916625,0.072916625,0.072916625,0,0.63541675,0,758449.5521,0,755971.4271,755971.4271,719003.6458,715866.3229,395.65625,36967.78125,35434.44792,0,0,2478.125,2478.125,2478.125,0,8602.083333,0
1,50대,1,군인/군무원,충남,당진군,500만원미만,4768185.667,35923.33333,62050056.67,0,0,83333.33333,0,0,0,0,0,11650320.33,83333.33333,84677239,55787934.33,0,0,55787934.33,28889304.67,0,0,0,0,55787934.33,0,0,23930787,4958517.667,0,0,0,0,0,0,0,0,0,0,0,0,0,25.08333333,24.69444467,23.30555567,10.44444433,0,1.388889,1.361111,0.388889,0,8.916666667,8.916666667,8.916666667,0,0.222222,1.333333333,2092403.111,78040.83333,1970350.333,1017572.556,854820.0556,308307.9722,0,162752.5,160863.6111,952777.7778,0,200093.6111,200093.6111,200093.6111,0,2967.5,9612.5
1,20대,1,전문직,경기,오산시,200만원미만,164324.9231,0,0,0,0,772307.6923,0,0,0,0,0,165952.5385,772307.6923,7692307.692,7692307.692,0,0,7692307.692,0,0,0,0,0,0,7692307.692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.070512769,9.070512769,9.064102538,4.737179538,0.038461538,0.006410231,0,0,0,9.480769231,9.480769231,9.455128231,0.025641077,0.173076923,0.782051308,409542.9551,0,238825.5577,238825.5577,229593.1218,107530.2051,4472.166667,9232.435897,0,0,0,170717.3974,170717.3974,169917.391,800.00641,460.897436,3139.74359
