기준년월,행정동코드,시도명,시군구명,성별,연령별,직업구분,분위구분,최근12개월신용및체크카드이용금액합계,최근12개월전체체크카드이용금액합계,최근12개월해외이용금액합계,최근12개월평균신용및체크카드이용금액합계,최근12개월평균체크카드이용금액,최근12개월평균해외이용금액,최근12개월신용및체크카드이용인구수,최근12개월체크카드이용인구수,최근12개월해외이용인구수,최근1개월신용및체크카드이용금액합계,최근1개월체크카드이용금액합계,최근1개월해외신판이용금액합계,최근1개월평균신용및체크카드이용금액,최근1개월평균체크카드이용금액,최근1개월평균해외이용금액,최근1개월신용및체크카드이용인구수,최근1개월체크카드이용인구수,최근1개월해외이용인구수
2017-03-31,2820000000,인천광역시,남동구,0,0,0,1,356141996,134433764,2679146,8679,3746,607,41037,35886,4416,29245842,11432908,255221,806,392,199,36265,29153,1281
2017-03-31,2820000000,인천광역시,남동구,0,0,1,6,34728887,5520499,364779,18164,4201,839,1912,1314,435,2922874,411562,38699,1590,453,276,1838,909,140
2017-03-31,2820000000,인천광역시,남동구,0,0,3,0,1946613965,361219447,29183057,20017,4766,986,97247,75788,29602,155422394,27801057,2660654,1642,475,293,94672,58499,9073
2017-03-31,2820000000,인천광역시,남동구,0,0,4,5,289201286,80827011,2313176,8825,3517,713,32770,22982,3246,23592140,6276898,208942,808,384,243,29187,16367,859
2017-03-31,2820000000,인천광역시,남동구,0,15,1,0,,,,,,,5,5,0,,,,,,,5,5,0
2017-03-31,2820000000,인천광역시,남동구,0,15,3,3,39761,35900,,2840,2564,,14,14,0,5119,4295,,394,330,,13,13,0
2017-03-31,2820000000,인천광역시,남동구,0,20,0,2,242009748,171210435,1963639,6313,4500,457,38335,38050,4299,21848107,14802987,203018,607,427,135,35977,34630,1504
2017-03-31,2820000000,인천광역시,남동구,0,20,1,7,2583087,727211,24231,26092,8080,692,99,90,35,208521,47124,1956,2172,604,196,96,78,10
2017-03-31,2820000000,인천광역시,남동구,0,20,3,1,46178746,20915202,515652,9914,4610,427,4658,4537,1208,4151341,1746270,45682,932,438,109,4455,3983,421
2017-03-31,2820000000,인천광역시,남동구,0,20,4,6,10032503,3420487,238778,28912,10120,1561,347,338,153,703067,251199,27346,2068,843,408,340,298,67
2017-03-31,2820000000,인천광역시,남동구,0,30,1,0,187469552,28155116,3554345,35790,6786,1879,5238,4149,1892,15579889,2051849,372076,3075,723,593,5066,2837,627
2017-03-31,2820000000,인천광역시,남동구,0,30,2,5,2490790,432966,50890,16280,3305,834,153,131,61,218631,30409,12155,1497,331,528,146,92,23
2017-03-31,2820000000,인천광역시,남동구,0,30,3,10,108956643,13290429,2618668,41460,6142,1730,2628,2164,1514,8650257,962211,231847,3326,599,425,2601,1607,545
2017-03-31,2820000000,인천광역시,남동구,0,40,0,4,69563061,17938705,513907,9566,3181,807,7272,5640,637,5894770,1481465,43783,904,358,255,6522,4137,172
2017-03-31,2820000000,인천광역시,남동구,0,40,1,9,86192998,9629795,627132,32391,5919,925,2661,1627,678,6825863,830805,43305,2630,775,250,2595,1072,173
2017-03-31,2820000000,인천광역시,남동구,0,40,3,3,11926668,2203935,61823,15469,3698,455,771,596,136,1007407,182979,4586,1367,423,131,737,433,35
2017-03-31,2820000000,인천광역시,남동구,0,40,4,8,98134284,17288697,707761,25669,6422,784,3823,2692,903,7537783,1285269,59085,2008,644,264,3753,1995,224
2017-03-31,2820000000,인천광역시,남동구,0,50,1,2,6848057,567768,43927,27067,4114,998,253,138,44,497255,38437,3021,2021,452,275,246,85,11
2017-03-31,2820000000,인천광역시,남동구,0,50,2,7,369207,47561,2346,19432,4324,587,19,11,4,45515,3594,176,2677,513,59,17,7,3
2017-03-31,2820000000,인천광역시,남동구,0,50,4,1,26073882,9234986,117289,9003,3982,682,2896,2319,172,1938372,713334,12593,822,433,370,2358,1646,34
2017-03-31,2820000000,인천광역시,남동구,0,60,0,6,27842389,3533149,165260,10733,2760,762,2594,1280,217,2042458,242135,10599,841,299,331,2429,810,32
2017-03-31,2820000000,인천광역시,남동구,0,60,2,0,5344770,481398,84987,14683,2751,1604,364,175,53,370494,44612,3072,1068,437,512,347,102,6
2017-03-31,2820000000,인천광역시,남동구,0,60,3,5,4745565,687113,36753,10476,2863,1114,453,240,33,371591,48713,2441,856,301,610,434,162,4
2017-03-31,2820000000,인천광역시,남동구,0,60,4,10,12046141,1015268,194429,26533,5869,1507,454,173,129,740799,48923,17017,1711,494,740,433,99,23
2017-03-31,2820000000,인천광역시,남동구,0,70,1,4,189048,35160,,11816,4395,,16,8,0,11596,981,,725,327,,16,3,0
2017-03-31,2820000000,인천광역시,남동구,0,70,2,9,82906,,,6909,,,12,1,0,7650,,,638,,,12,0,0
2017-03-31,2820000000,인천광역시,남동구,0,70,4,3,17620488,2878388,49420,4358,1740,515,4043,1654,96,1353872,223876,3644,415,236,228,3266,950,16
2017-03-31,2820000000,인천광역시,남동구,0,80,0,8,,,,,,,3,0,0,,,,,,,2,0,0
2017-03-31,2820000000,인천광역시,남동구,0,80,4,0,5395742,1338151,20340,3636,1727,678,1484,775,30,381953,95935,799,370,233,114,1032,411,7
2017-03-31,2820000000,인천광역시,남동구,1,0,0,1,162194693,66410163,1161873,8089,3775,648,20051,17594,1794,13318589,5701565,109623,759,397,192,17546,14344,571
2017-03-31,2820000000,인천광역시,남동구,1,0,1,6,19730269,3247094,161909,18561,4606,739,1063,705,219,1637677,247248,17938,1615,511,253,1014,484,71
2017-03-31,2820000000,인천광역시,남동구,1,0,2,2,1697027,494030,10480,15428,4843,361,110,102,29,148687,37927,505,1377,431,101,108,88,5
2017-03-31,2820000000,인천광역시,남동구,1,0,3,0,1122333880,209971105,17693017,20359,4958,1111,55127,42354,15928,88148409,15983419,1592404,1647,492,307,53524,32499,5195
2017-03-31,2820000000,인천광역시,남동구,1,0,4,5,110602062,35462347,981176,8593,3727,821,12871,9514,1195,9127175,2676146,87907,811,395,230,11249,6777,382
2017-03-31,2820000000,인천광역시,남동구,1,15,1,1,,,,,,,1,1,0,,,,,,,1,1,0
2017-03-31,2820000000,인천광역시,남동구,1,15,4,0,13651557,13531883,1335,1920,1903,121,7111,7111,11,1648193,1618046,753,262,257,84,6291,6287,9
2017-03-31,2820000000,인천광역시,남동구,1,20,0,10,11913387,3716145,604123,43164,14023,3923,276,265,154,789728,247086,50029,2903,1149,685,272,215,73
2017-03-31,2820000000,인천광역시,남동구,1,20,2,4,1194541,423082,18894,14568,5223,461,82,81,41,133435,35923,1487,1668,513,106,80,70,14
2017-03-31,2820000000,인천광역시,남동구,1,20,3,9,8051718,2174577,203163,29173,8175,1345,276,266,151,601379,164703,12164,2211,713,221,272,231,55
2017-03-31,2820000000,인천광역시,남동구,1,30,0,3,51679364,18610026,741040,9740,3875,702,5306,4803,1056,4495046,1478557,76419,952,403,197,4720,3673,388
2017-03-31,2820000000,인천광역시,남동구,1,30,1,8,14802476,1833895,226787,34666,5442,1445,427,337,157,1246334,135589,15839,3018,634,344,413,214,46
2017-03-31,2820000000,인천광역시,남동구,1,30,3,2,21641913,6442354,279394,12290,4162,642,1761,1548,435,1748840,502912,24019,1053,417,146,1661,1205,165
2017-03-31,2820000000,인천광역시,남동구,1,30,4,7,26721597,6408973,424685,25522,7121,1064,1047,900,399,1987319,456371,41135,1922,637,286,1034,716,144
2017-03-31,2820000000,인천광역시,남동구,1,40,1,1,8936160,818041,41981,31915,4958,840,280,165,50,615466,54788,2697,2280,503,207,270,109,13
2017-03-31,2820000000,인천광역시,남동구,1,40,2,6,,,,,,,9,6,2,,,,,,,8,4,1
2017-03-31,2820000000,인천광역시,남동구,1,40,4,0,259546571,67431926,3005694,14719,4947,1284,17634,13631,2341,20902556,5211130,265345,1308,513,394,15983,10165,673
2017-03-31,2820000000,인천광역시,남동구,1,50,0,5,31020024,8759929,86592,7157,2874,562,4334,3048,154,2588595,668698,16681,696,324,417,3720,2063,40
2017-03-31,2820000000,인천광역시,남동구,1,50,1,10,84953490,5775704,1100303,48965,7302,2120,1735,791,519,6362851,369317,101959,3787,778,684,1680,475,149
2017-03-31,2820000000,인천광역시,남동구,1,50,2,5,,,,,,,4,2,0,,,,,,,4,2,0
2017-03-31,2820000000,인천광역시,남동구,1,50,3,4,3072048,454737,11997,13242,2824,545,232,161,22,299077,29957,4316,1366,294,719,219,102,6
2017-03-31,2820000000,인천광역시,남동구,1,50,4,9,36742279,5716800,340063,24944,6519,1293,1473,877,263,2493734,400077,36562,1738,640,538,1435,625,68
2017-03-31,2820000000,인천광역시,남동구,1,60,1,3,618915,93948,990,14736,5219,248,42,18,4,69643,12045,,1741,753,,40,16,1
2017-03-31,2820000000,인천광역시,남동구,1,60,2,8,154561,4223,,10304,1408,,15,3,1,11519,,,823,,,14,1,0
2017-03-31,2820000000,인천광역시,남동구,1,60,4,2,6440499,1056591,14452,5458,1782,628,1180,593,23,484087,80531,2394,476,219,399,1017,367,6
2017-03-31,2820000000,인천광역시,남동구,1,70,0,7,2188905,145844,22922,12297,2026,1528,178,72,15,172159,6580,,1031,157,,167,42,1
2017-03-31,2820000000,인천광역시,남동구,1,70,2,2,,,,,,,1,0,0,,,,,,,1,0,0
2017-03-31,2820000000,인천광역시,남동구,1,70,3,8,615510,55432,14720,10612,2772,1840,58,20,8,42947,3455,135,767,314,45,56,11,3
2017-03-31,2820000000,인천광역시,남동구,1,80,0,2,48790,,,3753,,,13,2,0,2882,,,360,,,8,2,0
2017-03-31,2820000000,인천광역시,남동구,1,80,1,10,,,,,,,2,0,0,,,,,,,2,0,0
2017-03-31,2820000000,인천광역시,남동구,1,90,0,1,101993,32429,,3290,1802,,31,18,0,3316,1218,,184,111,,18,11,0
2017-03-31,2820000000,인천광역시,남동구,2,0,1,2,9383774,1269742,86362,26888,4960,1028,349,256,84,720396,90716,8900,2106,537,387,342,169,23
2017-03-31,2820000000,인천광역시,남동구,2,0,2,7,4167787,942572,88075,19476,5123,927,214,184,95,324901,84149,7849,1562,569,291,208,148,27
2017-03-31,2820000000,인천광역시,남동구,2,0,4,1,97666451,46523224,562290,6568,3541,603,14869,13140,932,8064675,4018208,54395,630,377,206,12793,10654,264
2017-03-31,2820000000,인천광역시,남동구,2,15,0,6,,,,,,,3,3,1,,,,,,,3,3,1
2017-03-31,2820000000,인천광역시,남동구,2,15,3,1,266875,193378,557,5560,4029,111,48,48,5,37810,24973,44,788,531,15,48,47,3
2017-03-31,2820000000,인천광역시,남동구,2,15,4,1,4472273,4424758,279,1234,1221,56,3625,3625,5,599022,590510,,197,195,,3036,3036,2
2017-03-31,2820000000,인천광역시,남동구,2,20,0,2,128311740,84590011,1177250,7224,4807,455,17763,17598,2590,11491013,7285702,126328,684,454,151,16808,16051,836
2017-03-31,2820000000,인천광역시,남동구,2,20,1,7,1126615,322393,4094,28888,8955,341,39,36,12,98950,15668,470,2604,490,157,38,32,3
2017-03-31,2820000000,인천광역시,남동구,2,20,3,1,27088320,10980559,308765,11147,4655,397,2430,2359,777,2380443,891867,26884,1006,426,113,2367,2092,238
2017-03-31,2820000000,인천광역시,남동구,2,20,4,6,4690657,1600753,80587,30262,10531,1007,155,152,80,336304,117699,9532,2198,878,367,153,134,26
2017-03-31,2820000000,인천광역시,남동구,2,30,1,0,66580075,8624822,1419220,31994,5128,1958,2081,1682,725,5457051,652470,121881,2695,547,530,2025,1192,230
2017-03-31,2820000000,인천광역시,남동구,2,30,2,5,942643,164232,15137,14963,2933,658,63,56,23,72463,11073,1301,1228,308,217,59,36,6
2017-03-31,2820000000,인천광역시,남동구,2,30,3,10,38498175,3324288,614752,56120,5915,1564,686,562,393,3400239,259474,47540,4978,605,360,683,429,132
2017-03-31,2820000000,인천광역시,남동구,2,40,0,4,38134184,9407670,166693,9569,3048,455,3985,3087,366,3264981,789172,14674,905,348,158,3607,2267,93
2017-03-31,2820000000,인천광역시,남동구,2,40,1,9,35385236,4212528,267111,32464,5875,843,1090,717,317,2937371,449687,23253,2735,929,291,1074,484,80
2017-03-31,2820000000,인천광역시,남동구,2,40,3,3,7118250,1347051,40273,16710,3939,443,426,342,91,616843,111400,3936,1483,446,164,416,250,24
2017-03-31,2820000000,인천광역시,남동구,2,40,4,8,60925092,9511020,405631,25588,5835,719,2381,1630,564,4764128,705824,37581,2035,591,276,2341,1195,136
2017-03-31,2820000000,인천광역시,남동구,2,50,1,2,2967477,280468,21042,26734,3950,915,111,71,23,246124,19605,1692,2237,446,423,110,44,4
2017-03-31,2820000000,인천광역시,남동구,2,50,2,7,236697,33796,716,16907,3755,239,14,9,3,14780,1969,,1232,394,,12,5,2
2017-03-31,2820000000,인천광역시,남동구,2,50,4,1,15755249,4563801,76630,9514,3519,608,1656,1297,126,1222347,346613,5554,881,379,252,1388,914,22
2017-03-31,2820000000,인천광역시,남동구,2,60,0,6,13366210,1429818,87064,11797,2755,702,1133,519,124,1035123,101434,4899,965,312,288,1073,325,17
2017-03-31,2820000000,인천광역시,남동구,2,60,2,0,1585976,61029,9698,16183,1221,570,98,50,17,116632,4136,,1241,180,,94,23,2
2017-03-31,2820000000,인천광역시,남동구,2,60,3,5,1940277,260715,12589,9605,2607,663,202,100,19,150610,19553,,780,296,,193,66,0
2017-03-31,2820000000,인천광역시,남동구,2,60,4,10,3972343,459659,46926,25794,8208,1173,154,56,40,257557,19142,3361,1729,660,420,149,29,8
2017-03-31,2820000000,인천광역시,남동구,2,70,1,4,124167,33526,,13796,6705,,9,5,0,6715,,,746,,,9,2,0
2017-03-31,2820000000,인천광역시,남동구,2,70,3,3,284769,36984,,8899,2312,,32,16,2,27043,3027,,901,252,,30,12,0
2017-03-31,2820000000,인천광역시,남동구,2,70,4,8,353859,111454,,16085,15922,,22,7,2,18212,5439,,1012,1088,,18,5,0
2017-03-31,2820000000,인천광역시,남동구,2,80,3,0,92970,25273,,10330,6318,,9,4,0,3564,,,396,,,9,2,0
2017-03-31,2820000000,인천광역시,남동구,2,90,4,1,87563,62775,,1863,1569,,47,40,0,8502,6671,,354,351,,24,19,0
2017-03-31,2820000000,인천광역시,남동구,0,0,0,5,435624055,110305769,4777669,10555,3723,854,41273,29630,5592,35503390,8554702,526611,949,399,322,37397,21440,1634
