기준년월,행정동코드,시도명,시군구명,성별,연령별,직업구분,분위구분,최근12개월신용및체크카드이용금액합계,최근12개월전체체크카드이용금액합계,최근12개월해외이용금액합계,최근12개월평균신용및체크카드이용금액합계,최근12개월평균체크카드이용금액,최근12개월평균해외이용금액,최근12개월신용및체크카드이용인구수,최근12개월체크카드이용인구수,최근12개월해외이용인구수,최근1개월신용및체크카드이용금액합계,최근1개월체크카드이용금액합계,최근1개월해외신판이용금액합계,최근1개월평균신용및체크카드이용금액,최근1개월평균체크카드이용금액,최근1개월평균해외이용금액,최근1개월신용및체크카드이용인구수,최근1개월체크카드이용인구수,최근1개월해외이용인구수
2017-12-30,2820000000,인천광역시,남동구,0,0,0,5,465344163,122703621,5359768,11102,3962,871,41915,30968,6155,42387498,10523480,513485,1100,454,268,38550,23194,1915
2017-12-30,2820000000,인천광역시,남동구,0,0,1,10,389251008,38472457,6097282,62082,10856,2654,6270,3544,2297,33856128,4404776,463600,5550,1899,661,6100,2319,701
2017-12-30,2820000000,인천광역시,남동구,0,0,3,4,124727652,29258459,2531984,16171,4573,1048,7713,6398,2416,11182560,2430525,280586,1491,477,341,7501,5094,823
2017-12-30,2820000000,인천광역시,남동구,0,0,4,9,287707281,38100876,5306639,32631,6576,1888,8817,5794,2811,23006486,3350278,423220,2651,785,503,8679,4269,842
2017-12-30,2820000000,인천광역시,남동구,0,15,2,0,,,,,,,8,8,3,,,,,,,8,7,2
2017-12-30,2820000000,인천광역시,남동구,0,15,4,0,32366478,31987273,7077,2129,2104,157,15204,15204,45,3573417,3481023,1119,264,257,43,13542,13539,26
2017-12-30,2820000000,인천광역시,남동구,0,20,0,6,35922107,12228007,849023,22270,7774,1079,1613,1573,787,3059348,984902,89640,1918,705,297,1595,1398,302
2017-12-30,2820000000,인천광역시,남동구,0,20,2,0,36684316,11541775,1323548,20702,6679,1346,1772,1728,983,3346630,951266,118266,1900,619,296,1761,1537,399
2017-12-30,2820000000,인천광역시,남동구,0,20,3,5,21612206,7369267,460338,19314,6755,813,1119,1091,566,1915836,577453,38867,1729,600,193,1108,963,201
2017-12-30,2820000000,인천광역시,남동구,0,20,4,10,3460351,2185434,30093,36812,23249,836,94,94,36,293313,169527,2342,3154,1994,180,93,85,13
2017-12-30,2820000000,인천광역시,남동구,0,30,1,4,10227161,1767778,191909,23840,4843,1324,429,365,145,932743,152713,19585,2264,564,344,412,271,57
2017-12-30,2820000000,인천광역시,남동구,0,30,2,9,24524422,4559572,735904,25231,5377,1451,972,848,507,2185354,355722,71177,2293,531,361,953,670,197
2017-12-30,2820000000,인천광역시,남동구,0,30,4,3,62273852,27583930,682320,7980,3826,586,7804,7209,1164,5858661,2489996,77795,847,438,211,6920,5683,369
2017-12-30,2820000000,인천광역시,남동구,0,40,0,8,253789207,42838835,2246335,23512,5469,883,10794,7833,2544,21628234,3594617,200136,2049,608,286,10557,5914,699
2017-12-30,2820000000,인천광역시,남동구,0,40,2,2,738757,86223,4127,23831,3449,459,31,25,9,62109,6530,,2004,408,,31,16,2
2017-12-30,2820000000,인천광역시,남동구,0,40,2,9,9543494,1464197,119418,19241,3884,885,496,377,135,872490,119957,8944,1803,421,186,484,285,48
2017-12-30,2820000000,인천광역시,남동구,0,40,3,7,49953888,9696892,505741,17950,4578,860,2783,2118,588,4280005,795167,38079,1578,480,247,2712,1658,154
2017-12-30,2820000000,인천광역시,남동구,0,50,0,1,61425567,13963908,437598,13705,4205,917,4482,3321,477,5226867,1268350,39103,1307,520,391,3998,2438,100
2017-12-30,2820000000,인천광역시,남동구,0,50,1,6,5893396,614682,26657,19259,3512,523,306,175,51,559471,54954,3990,1897,518,499,295,106,8
2017-12-30,2820000000,인천광역시,남동구,0,50,3,0,371493390,61099396,3894408,19697,4800,1007,18860,12728,3869,31291273,5154634,341277,1703,555,427,18372,9296,800
2017-12-30,2820000000,인천광역시,남동구,0,50,4,5,78761532,20664163,324894,7109,2771,541,11079,7457,600,7276649,1868195,46420,741,357,411,9822,5236,113
2017-12-30,2820000000,인천광역시,남동구,0,60,0,10,78633316,5987607,1392108,33835,5836,2018,2324,1026,690,7050721,911522,119987,3123,1369,710,2258,666,169
2017-12-30,2820000000,인천광역시,남동구,0,60,2,4,,,,,,,5,3,1,,,,,,,5,2,0
2017-12-30,2820000000,인천광역시,남동구,0,60,3,9,19550583,2291637,236878,17629,3690,1112,1109,621,213,1736519,201933,9533,1600,467,329,1085,432,29
2017-12-30,2820000000,인천광역시,남동구,0,70,0,3,24734927,3783272,126892,5127,1866,999,4824,2027,127,2207841,333711,10571,542,265,378,4072,1257,28
2017-12-30,2820000000,인천광역시,남동구,0,70,1,8,2540793,164904,4632,10083,2036,257,252,81,18,245425,41454,,1067,1036,,230,40,1
2017-12-30,2820000000,인천광역시,남동구,0,70,3,2,1288314,99622,1857,7490,1365,310,172,73,6,127056,9594,,794,218,,160,44,1
2017-12-30,2820000000,인천광역시,남동구,0,70,4,7,2358598,228243,13354,16045,4389,1113,147,52,12,176341,19765,468,1287,581,156,137,34,3
2017-12-30,2820000000,인천광역시,남동구,0,80,1,1,531430,70558,,8052,2822,,66,25,0,40524,5226,,699,402,,58,13,0
2017-12-30,2820000000,인천광역시,남동구,0,80,4,1,6128508,1694863,19398,3547,1811,808,1728,936,24,516976,149035,1346,416,279,192,1243,535,7
2017-12-30,2820000000,인천광역시,남동구,1,0,0,0,3237926651,746675743,47438096,16765,4957,1264,193131,150632,37536,281884903,64833472,4254626,1552,543,345,181617,119442,12339
2017-12-30,2820000000,인천광역시,남동구,1,0,1,5,20063521,2956443,716608,23800,5002,3530,843,591,203,1822478,265474,20349,2236,651,279,815,408,73
2017-12-30,2820000000,인천광역시,남동구,1,0,2,10,113839831,15079767,2930931,31465,5787,1642,3618,2606,1785,9286162,1214206,274846,2600,604,438,3571,2010,627
2017-12-30,2820000000,인천광역시,남동구,1,0,4,4,113748896,42226294,1187212,8412,3992,791,13523,10577,1501,10444329,3576077,108252,865,446,213,12075,8022,509
2017-12-30,2820000000,인천광역시,남동구,1,15,1,0,,,,,,,3,3,0,,,,,,,3,3,0
2017-12-30,2820000000,인천광역시,남동구,1,15,4,2,10436439,10343806,3488,2873,2847,268,3633,3633,13,1127925,1103852,196,339,332,20,3323,3322,10
2017-12-30,2820000000,인천광역시,남동구,1,20,0,10,11774300,3707829,525377,43288,13992,3165,272,265,166,933330,332693,37597,3431,1499,553,272,222,68
2017-12-30,2820000000,인천광역시,남동구,1,20,2,4,1275789,449111,23565,16569,6069,673,77,74,35,118112,38266,4437,1534,580,296,77,66,15
2017-12-30,2820000000,인천광역시,남동구,1,20,3,9,8568866,2447370,384486,27642,8104,2045,310,302,188,762194,206689,37357,2483,798,434,307,259,86
2017-12-30,2820000000,인천광역시,남동구,1,30,0,3,53330792,20284500,771975,10091,4169,747,5285,4866,1033,4956470,1769221,83812,1049,464,218,4727,3810,385
2017-12-30,2820000000,인천광역시,남동구,1,30,1,8,16557457,2070008,262403,35839,5625,1508,462,368,174,1422363,177170,29803,3147,659,459,452,269,65
2017-12-30,2820000000,인천광역시,남동구,1,30,3,2,22158873,6499755,295667,12470,4119,684,1777,1578,432,2043789,576514,19124,1219,466,141,1677,1237,136
2017-12-30,2820000000,인천광역시,남동구,1,30,4,7,25843288,6333910,584257,25613,7141,1415,1009,887,413,2149186,534067,65716,2171,746,424,990,716,155
2017-12-30,2820000000,인천광역시,남동구,1,40,1,1,10869613,1097002,62771,34398,5569,1029,316,197,61,965451,90385,8152,3124,655,429,309,138,19
2017-12-30,2820000000,인천광역시,남동구,1,40,2,6,,,,,,,7,6,2,,,,,,,7,5,0
2017-12-30,2820000000,인천광역시,남동구,1,40,4,0,277472619,72863344,3513915,15747,5233,1366,17621,13924,2573,24167148,6321330,329852,1497,592,400,16144,10675,825
2017-12-30,2820000000,인천광역시,남동구,1,50,0,5,32887825,9594042,98317,7529,3051,578,4368,3145,170,3011653,890548,13718,785,392,490,3836,2271,28
2017-12-30,2820000000,인천광역시,남동구,1,50,1,10,102238234,11376067,1231469,57827,12654,2280,1768,899,540,8100813,1126627,101402,4724,2015,719,1715,559,141
2017-12-30,2820000000,인천광역시,남동구,1,50,2,6,,,,,,,4,3,0,,,,,,,4,2,0
2017-12-30,2820000000,인천광역시,남동구,1,50,3,4,3339004,520268,16270,12892,2874,740,259,181,22,257514,38290,515,1060,304,74,243,126,7
2017-12-30,2820000000,인천광역시,남동구,1,50,4,9,39361382,5910759,303620,26905,6553,1077,1463,902,282,2929821,478783,18098,2040,719,302,1436,666,60
2017-12-30,2820000000,인천광역시,남동구,1,60,1,3,1006105,110040,2846,18632,3930,407,54,28,7,95092,6546,,1794,409,,53,16,2
2017-12-30,2820000000,인천광역시,남동구,1,60,2,8,174784,39546,,13445,7909,,13,5,1,35821,2914,,2755,729,,13,4,0
2017-12-30,2820000000,인천광역시,남동구,1,60,4,2,6445382,1240008,7964,5476,2000,295,1177,620,27,583669,122177,642,566,294,128,1032,415,5
2017-12-30,2820000000,인천광역시,남동구,1,70,0,7,3211614,179665,19803,13271,1932,1100,242,93,18,253056,14855,592,1105,270,148,229,55,4
2017-12-30,2820000000,인천광역시,남동구,1,70,2,1,,,,,,,0,0,0,,,,,,,0,0,0
2017-12-30,2820000000,인천광역시,남동구,1,70,3,7,424332,31429,4492,8840,1257,898,48,25,5,27792,3019,,618,274,,45,11,0
2017-12-30,2820000000,인천광역시,남동구,1,80,0,1,3822982,698468,9850,4111,1640,704,930,426,14,316083,54269,493,438,214,164,722,254,3
2017-12-30,2820000000,인천광역시,남동구,1,80,1,8,,,,,,,1,1,0,,,,,,,1,1,0
2017-12-30,2820000000,인천광역시,남동구,1,80,4,6,,,,,,,2,0,0,,,,,,,2,0,0
2017-12-30,2820000000,인천광역시,남동구,2,0,0,5,268038853,66011893,2617440,11062,3781,722,24231,17461,3626,24323898,5612270,276479,1085,431,263,22409,13025,1053
2017-12-30,2820000000,인천광역시,남동구,2,0,1,10,113129448,11738253,1982038,63627,10759,2823,1778,1091,702,10227532,1375328,148179,5902,1851,686,1733,743,216
2017-12-30,2820000000,인천광역시,남동구,2,0,3,4,66427199,14875475,1093727,16745,4491,783,3967,3312,1396,5922493,1260791,104655,1521,470,234,3894,2682,447
2017-12-30,2820000000,인천광역시,남동구,2,0,4,9,136835595,15223923,2545268,35422,6199,1804,3863,2456,1411,11121688,1236266,223798,2911,703,542,3820,1759,413
2017-12-30,2820000000,인천광역시,남동구,2,15,2,0,,,,,,,5,5,1,,,,,,,5,5,1
2017-12-30,2820000000,인천광역시,남동구,2,15,3,0,615111,446344,2715,6759,4959,302,91,90,9,64375,40936,1141,723,476,285,89,86,4
2017-12-30,2820000000,인천광역시,남동구,2,15,4,1,5313134,5266433,,1297,1286,,4095,4095,2,623600,612921,,176,173,,3538,3538,1
2017-12-30,2820000000,인천광역시,남동구,2,20,0,8,15137094,4614796,440073,25526,7943,1233,593,581,357,1306836,375719,48802,2215,734,361,590,512,135
2017-12-30,2820000000,인천광역시,남동구,2,20,2,2,1067275,364894,25627,18089,6291,777,59,58,33,101493,32978,2567,1720,622,160,59,53,16
2017-12-30,2820000000,인천광역시,남동구,2,20,3,7,8743841,2603418,257991,23255,7113,1122,376,366,230,782024,200176,18570,2091,620,218,374,323,85
2017-12-30,2820000000,인천광역시,남동구,2,30,0,1,41206423,14263191,442606,14368,5370,771,2868,2656,574,4022881,1580506,41921,1494,717,245,2693,2204,171
2017-12-30,2820000000,인천광역시,남동구,2,30,1,6,8187463,1474162,85834,21603,4636,773,379,318,111,747050,130140,8042,2008,516,175,372,252,46
2017-12-30,2820000000,인천광역시,남동구,2,30,3,0,313749905,58685339,5757134,22528,4855,970,13927,12087,5934,27297102,5430752,491540,1995,566,250,13684,9593,1969
2017-12-30,2820000000,인천광역시,남동구,2,30,4,5,53827977,16434367,657519,15762,5567,770,3415,2952,854,4905543,1362920,65713,1470,560,242,3337,2435,271
2017-12-30,2820000000,인천광역시,남동구,2,40,0,1,45933225,12166290,205989,16715,5246,658,2748,2319,313,3905856,1047184,15729,1520,553,194,2569,1893,81
2017-12-30,2820000000,인천광역시,남동구,2,40,0,10,137523048,15434605,2219268,41992,6585,1519,3275,2344,1461,11583714,1233861,153687,3582,712,387,3234,1732,397
2017-12-30,2820000000,인천광역시,남동구,2,40,2,4,,,,,,,9,7,3,,,,,,,8,5,0
2017-12-30,2820000000,인천광역시,남동구,2,40,3,9,63524754,8610959,834199,26110,4739,1016,2433,1817,821,5277789,713696,66265,2195,522,326,2404,1368,203
2017-12-30,2820000000,인천광역시,남동구,2,50,0,3,20126868,2736521,213193,13599,2978,960,1480,919,222,1644226,231663,11382,1174,361,228,1400,641,50
2017-12-30,2820000000,인천광역시,남동구,2,50,1,8,26214051,2601185,175760,16665,2997,735,1573,868,239,2354380,227731,29266,1554,414,597,1515,550,49
2017-12-30,2820000000,인천광역시,남동구,2,50,3,2,5350904,749118,38994,16464,2926,661,325,256,59,458451,66499,1515,1437,369,138,319,180,11
2017-12-30,2820000000,인천광역시,남동구,2,50,4,7,44672360,7589391,351588,15949,4379,658,2801,1733,534,3821595,632439,30794,1424,520,293,2684,1216,105
2017-12-30,2820000000,인천광역시,남동구,2,60,1,1,2923552,197339,8809,24988,3723,440,117,53,20,242185,20050,,2143,590,,113,34,2
2017-12-30,2820000000,인천광역시,남동구,2,60,1,7,4165055,370646,19493,13016,2592,650,320,143,30,383010,35111,2736,1252,348,456,306,101,6
2017-12-30,2820000000,인천광역시,남동구,2,60,2,6,,,,,,,6,3,2,,,,,,,5,1,0
2017-12-30,2820000000,인천광역시,남동구,2,60,4,0,131340265,16986930,1048018,8454,2333,915,15536,7280,1146,11422983,1473338,96998,815,316,447,14010,4669,217
