기준년월,행정동코드,시도명,시군구명,성별,연령별,직업구분,분위구분,최근12개월신용및체크카드이용금액합계,최근12개월전체체크카드이용금액합계,최근12개월해외이용금액합계,최근12개월평균신용및체크카드이용금액합계,최근12개월평균체크카드이용금액,최근12개월평균해외이용금액,최근12개월신용및체크카드이용인구수,최근12개월체크카드이용인구수,최근12개월해외이용인구수,최근1개월신용및체크카드이용금액합계,최근1개월체크카드이용금액합계,최근1개월해외신판이용금액합계,최근1개월평균신용및체크카드이용금액,최근1개월평균체크카드이용금액,최근1개월평균해외이용금액,최근1개월신용및체크카드이용인구수,최근1개월체크카드이용인구수,최근1개월해외이용인구수
2019-09-30,2820000000,인천광역시,남동구,1,40,3,5,15861868,4026764,135176,16319,5298,747,972,760,181,1580919,569268,5601,1711,978,98,924,582,57
2019-09-30,2814000000,인천광역시,동구,2,0,4,4,21102460,6632714,125643,7827,3290,563,2696,2016,223,1828431,552222,6561,747,358,126,2449,1542,52
2019-09-30,2814000000,인천광역시,동구,2,15,0,5,,,,,,,5,5,0,,,,,,,5,5,0
2019-09-30,2820000000,인천광역시,남동구,1,60,2,3,,,,,,,3,3,1,,,,,,,2,0,0
2019-09-30,2814000000,인천광역시,동구,2,15,4,0,2100875,2084446,1531,2332,2316,383,901,900,4,220317,216954,409,263,259,136,838,837,3
2019-09-30,2814000000,인천광역시,동구,2,20,0,4,3106770,1361205,57564,15851,7090,872,196,192,66,265096,102203,4925,1359,562,214,195,182,23
2019-09-30,2820000000,인천광역시,남동구,0,0,4,1,174874891,129190427,700032,3733,2941,383,46847,43926,1827,16595029,12383328,73927,395,318,115,42035,38907,643
2019-09-30,2820000000,인천광역시,남동구,1,40,1,9,53225880,5886194,620559,44171,7135,1677,1205,825,370,4358927,459228,39258,3685,813,341,1183,565,115
2019-09-30,2814000000,인천광역시,동구,0,80,4,6,,,,,,,4,2,0,,,,,,,4,1,0
2019-09-30,2814000000,인천광역시,동구,2,20,2,0,1350591,428433,20790,22141,7141,671,61,60,31,104126,30737,400,1735,559,40,60,55,10
2019-09-30,2820000000,인천광역시,남동구,1,60,2,10,2470338,365602,57998,22874,5803,1758,108,63,33,202748,24121,1815,1895,524,202,107,46,9
2019-09-30,2814000000,인천광역시,동구,2,20,2,10,,,,,,,8,8,7,,,,,,,8,7,3
2019-09-30,2820000000,인천광역시,남동구,0,15,3,7,,,,,,,1,1,1,,,,,,,1,1,0
2019-09-30,2814000000,인천광역시,동구,2,20,4,2,4118329,2842278,30592,9071,6359,408,454,447,75,336115,225328,1770,760,538,66,442,419,27
2019-09-30,2814000000,인천광역시,동구,2,30,0,5,6888473,1730177,96074,22734,6408,1044,303,270,92,535915,128032,7165,1780,593,194,301,216,37
2019-09-30,2820000000,인천광역시,남동구,0,15,0,8,753618,675877,1945,16034,14380,486,47,47,4,74173,61761,,1578,1372,,47,45,2
2019-09-30,2820000000,인천광역시,남동구,0,0,0,10,1395953098,224078174,26311691,42566,9204,1833,32795,24345,14354,108993283,15894523,2152343,3360,869,479,32439,18300,4495
2019-09-30,2814000000,인천광역시,동구,2,30,1,10,698132,149579,4226,49867,10684,528,14,14,8,60981,14146,,4356,1415,,14,10,2
2019-09-30,2814000000,인천광역시,동구,2,30,3,2,2247229,608274,26118,16524,4752,594,136,128,44,209111,51837,1528,1549,494,102,135,105,15
2019-09-30,2820000000,인천광역시,남동구,1,60,2,8,257889,55216,,8893,3944,,29,14,2,26936,6194,,998,619,,27,10,0
2019-09-30,2814000000,인천광역시,동구,2,30,4,5,3901832,1025716,53213,23088,6838,1086,169,150,49,311571,78272,4736,1855,642,279,168,122,17
2019-09-30,2820000000,인천광역시,남동구,1,0,0,5,234217454,67172947,2495042,13939,5104,907,16803,13161,2750,20831464,6151885,200421,1314,595,218,15853,10346,918
2019-09-30,2814000000,인천광역시,동구,2,40,0,8,13288561,1890448,70311,27343,5222,482,486,362,146,1069124,150921,7112,2227,555,237,480,272,30
2019-09-30,2820000000,인천광역시,남동구,1,60,2,5,,,,,,,3,2,0,,,,,,,3,1,0
2019-09-30,2820000000,인천광역시,남동구,1,0,1,6,45064809,8645306,336569,21317,5930,910,2114,1458,370,3721919,640093,18417,1843,608,167,2019,1052,110
2019-09-30,2814000000,인천광역시,동구,2,20,0,10,2580444,815608,73974,33953,11022,1370,76,74,54,209463,73119,2545,2756,1161,134,76,63,19
2019-09-30,2814000000,인천광역시,동구,2,40,1,3,321465,79079,1390,21431,6083,232,15,13,6,26192,7381,956,1871,671,319,14,11,3
2019-09-30,2820000000,인천광역시,남동구,0,0,4,8,341566527,77911144,3626191,24252,7080,974,14084,11005,3722,26592789,6018263,305322,1916,680,285,13877,8844,1071
2019-09-30,2814000000,인천광역시,동구,1,30,1,7,1164686,109881,20163,37571,4777,1833,31,23,11,84819,8612,,2925,538,,29,16,2
2019-09-30,2820000000,인천광역시,남동구,1,30,4,8,37841392,10026402,689734,25261,7239,1187,1498,1385,581,2902193,779369,50273,1972,684,236,1472,1140,213
2019-09-30,2814000000,인천광역시,동구,1,30,3,3,2875675,568303,25546,18316,4089,532,157,139,48,236674,47688,2809,1537,446,281,154,107,10
2019-09-30,2820000000,인천광역시,남동구,0,0,4,0,3049630628,969889118,29813080,12155,4763,863,250888,203632,34537,255446346,81294058,2469496,1094,491,246,233593,165649,10038
2019-09-30,2814000000,인천광역시,동구,2,80,4,6,,,,,,,2,2,0,,,,,,,2,1,0
2019-09-30,2820000000,인천광역시,남동구,1,0,4,3,119774138,52495902,986844,7991,4224,604,14989,12427,1634,10722728,4656800,65770,794,470,113,13505,9907,580
2019-09-30,2814000000,인천광역시,동구,1,30,4,6,3222119,800776,76300,23868,6786,1496,135,118,51,241233,57748,3821,1787,589,191,135,98,20
2019-09-30,2814000000,인천광역시,동구,2,80,0,4,,,,,,,3,2,0,,,,,,,3,2,0
2019-09-30,2820000000,인천광역시,남동구,0,70,2,2,,,,,,,5,3,0,,,,,,,5,3,0
2019-09-30,2814000000,인천광역시,동구,2,70,4,5,183233,25103,,8329,2282,,22,11,1,16537,1972,,787,247,,21,8,0
2019-09-30,2820000000,인천광역시,남동구,1,70,2,0,236228,41235,,7620,2291,,31,18,0,17302,2271,,618,206,,28,11,0
2019-09-30,2814000000,인천광역시,동구,1,40,1,6,2045449,276143,5788,20454,4383,362,100,63,16,165088,23416,156,1738,558,26,95,42,6
2019-09-30,2820000000,인천광역시,남동구,0,70,0,8,11158881,1689754,96773,17826,6759,1363,626,250,71,1778618,943752,14052,2901,5720,1171,613,165,12
2019-09-30,2814000000,인천광역시,동구,2,30,3,7,3019036,535887,54678,25159,4701,1013,120,114,54,269739,43761,8952,2248,476,560,120,92,16
