기준년월,행정동코드,시도명,시군구명,성별,연령별,직업구분,분위구분,최근12개월신용및체크카드이용금액합계,최근12개월전체체크카드이용금액합계,최근12개월해외이용금액합계,최근12개월평균신용및체크카드이용금액합계,최근12개월평균체크카드이용금액,최근12개월평균해외이용금액,최근12개월신용및체크카드이용인구수,최근12개월체크카드이용인구수,최근12개월해외이용인구수,최근1개월신용및체크카드이용금액합계,최근1개월체크카드이용금액합계,최근1개월해외신판이용금액합계,최근1개월평균신용및체크카드이용금액,최근1개월평균체크카드이용금액,최근1개월평균해외이용금액,최근1개월신용및체크카드이용인구수,최근1개월체크카드이용인구수,최근1개월해외이용인구수
2018-09-30,2814000000,인천광역시,동구,0,50,4,9,8275451,963190,50927,31228,6096,893,265,158,57,692453,84134,5821,2694,738,364,257,114,16
2018-09-30,2820000000,인천광역시,남동구,0,70,1,2,1107708,101095,23829,17583,4212,2166,63,24,11,96196,11147,2196,1688,1239,732,57,9,3
2018-09-30,2814000000,인천광역시,동구,0,60,1,3,389350,33714,,18540,2593,,21,13,1,29637,2835,,1560,354,,19,8,0
2018-09-30,2814000000,인천광역시,동구,0,60,2,10,687954,69380,7947,15999,3017,1325,43,23,6,43025,9700,,1001,693,,43,14,0
2018-09-30,2820000000,인천광역시,남동구,1,80,0,5,,,,,,,4,3,0,,,,,,,3,1,0
2018-09-30,2814000000,인천광역시,동구,0,60,4,4,7850691,1456090,20492,6261,2349,445,1254,620,46,777629,142937,,705,347,,1103,412,2
2018-09-30,2814000000,인천광역시,동구,0,70,0,9,378136,13245,3115,14544,1656,779,26,8,4,28030,469,,1078,94,,26,5,1
2018-09-30,2820000000,인천광역시,남동구,0,70,1,4,384696,62671,1712,12022,4477,342,32,14,5,31660,3875,,1055,388,,30,10,0
2018-09-30,2814000000,인천광역시,동구,0,70,2,8,,,,,,,2,0,0,,,,,,,2,0,0
2018-09-30,2814000000,인천광역시,동구,0,70,4,0,9834038,1368151,40977,4885,1693,803,2013,808,51,850549,131862,1567,518,265,174,1642,497,9
2018-09-30,2814000000,인천광역시,동구,0,80,0,5,,,,,,,1,1,0,,,,,,,0,0,0
2018-09-30,2814000000,인천광역시,동구,0,80,4,0,1095815,299260,,3629,1825,,302,164,2,89527,25359,,394,249,,227,102,0
2018-09-30,2820000000,인천광역시,남동구,0,70,1,6,874104,76360,546,11206,2246,137,78,34,4,83505,7751,,1144,352,,73,22,1
2018-09-30,2814000000,인천광역시,동구,0,80,4,9,,,,,,,1,0,0,,,,,,,1,0,0
2018-09-30,2814000000,인천광역시,동구,1,0,0,0,361877127,85852594,3691466,15574,4867,998,23236,17639,3699,32172582,7923637,331702,1475,566,263,21810,14000,1260
2018-09-30,2820000000,인천광역시,남동구,2,40,2,5,469910,80207,2722,26106,4718,389,18,17,7,37835,7154,,2102,511,,18,14,1
2018-09-30,2820000000,인천광역시,남동구,1,80,0,7,,,,,,,5,2,1,,,,,,,5,2,1
2018-09-30,2814000000,인천광역시,동구,1,30,1,0,13643931,1782378,135797,40850,6458,1246,334,276,109,1068901,146371,10455,3309,762,255,323,192,41
2018-09-30,2814000000,인천광역시,동구,1,0,0,10,73887679,10787927,992535,36219,7221,1416,2040,1494,701,6348613,945327,83922,3174,821,394,2000,1151,213
2018-09-30,2814000000,인천광역시,동구,1,20,4,10,,,,,,,7,7,2,,,,,,,7,7,1
2018-09-30,2820000000,인천광역시,남동구,2,60,3,10,4171463,193012,62226,29796,2969,1037,140,65,60,340524,15759,5117,2486,426,366,137,37,14
2018-09-30,2814000000,인천광역시,동구,1,20,4,2,12382998,10133319,62803,5939,4902,419,2085,2067,150,1256666,971552,8197,638,504,128,1971,1927,64
2018-09-30,2814000000,인천광역시,동구,1,0,2,4,318763,79134,15612,16777,4396,1735,19,18,9,26386,6373,1961,1466,425,327,18,15,6
2018-09-30,2820000000,인천광역시,남동구,0,70,1,8,3245251,164144,20226,12386,2132,919,262,77,22,267172,15799,3427,1069,367,857,250,43,4
2018-09-30,2814000000,인천광역시,동구,1,20,3,1,2265833,1194399,18613,9441,5083,388,240,235,48,247367,107549,3939,1053,512,219,235,210,18
2018-09-30,2820000000,인천광역시,남동구,1,80,0,9,,,,,,,8,4,1,,,,,,,7,3,0
2018-09-30,2814000000,인천광역시,동구,1,20,2,6,,,,,,,9,9,4,,,,,,,9,8,2
2018-09-30,2814000000,인천광역시,동구,1,20,2,0,2132756,730239,50728,20120,7090,1127,106,103,45,228098,69675,16802,2172,766,840,105,91,20
2018-09-30,2814000000,인천광역시,동구,1,20,1,4,281589,78645,,18773,5618,,15,14,1,26798,8958,,1787,689,,15,13,0
2018-09-30,2814000000,인천광역시,동구,1,20,0,9,1862236,529648,25150,32108,9132,1006,58,58,25,209195,49768,4795,3607,995,436,58,50,11
2018-09-30,2820000000,인천광역시,남동구,0,70,1,10,5115468,2287447,11737,49665,53196,534,103,43,22,286455,90969,,2953,3639,,97,25,1
2018-09-30,2814000000,인천광역시,동구,1,20,0,1,4003322,2481873,30351,7669,4819,399,522,515,76,422255,241518,5394,845,516,200,500,468,27
2018-09-30,2814000000,인천광역시,동구,1,15,4,2,1470061,1463791,,2994,2981,,491,491,2,178125,177382,,386,384,,462,462,1
2018-09-30,2814000000,인천광역시,동구,1,15,4,1,516951,516951,,1420,1420,,364,364,0,56803,56803,,175,175,,324,324,0
2018-09-30,2814000000,인천광역시,동구,1,20,0,8,1639576,480587,20432,27326,8286,659,60,58,31,118673,42770,637,1978,807,37,60,53,17
2018-09-30,2820000000,인천광역시,남동구,2,70,4,10,769968,267074,2732,30799,29675,546,25,9,5,50255,3158,,2010,632,,25,5,1
2018-09-30,2820000000,인천광역시,남동구,0,70,2,2,,,,,,,6,4,0,,,,,,,6,3,0
2018-09-30,2814000000,인천광역시,동구,1,20,2,1,,,,,,,9,9,4,,,,,,,9,9,1
2018-09-30,2814000000,인천광역시,동구,1,20,3,6,473811,155647,4652,18224,6226,665,26,25,7,49870,17497,,1918,729,,26,24,2
2018-09-30,2820000000,인천광역시,남동구,1,80,1,0,1172459,102787,6050,14656,2390,1008,80,43,6,90417,16818,,1206,731,,75,23,2
2018-09-30,2814000000,인천광역시,동구,1,20,4,9,376107,144681,1217,34192,13153,406,11,11,3,62711,12593,,5701,1259,,11,10,1
2018-09-30,2814000000,인천광역시,동구,1,30,1,3,310848,33203,,22203,4150,,14,8,1,23685,1687,,1974,337,,12,5,0
2018-09-30,2820000000,인천광역시,남동구,2,40,2,7,409354,62351,,22742,4157,,18,15,2,38255,5840,,2125,487,,18,12,1
2018-09-30,2820000000,인천광역시,남동구,0,70,2,4,,,,,,,1,0,0,,,,,,,1,0,0
2018-09-30,2814000000,인천광역시,동구,1,30,2,6,323581,72902,3861,21572,5608,552,15,13,7,28598,4721,760,1907,525,190,15,9,4
2018-09-30,2814000000,인천광역시,동구,0,80,2,0,,,,,,,2,1,0,,,,,,,2,1,0
2018-09-30,2814000000,인천광역시,동구,1,30,4,2,1443818,578616,33472,9315,4223,1116,155,137,30,139312,57099,1269,1017,534,115,137,107,11
2018-09-30,2814000000,인천광역시,동구,0,70,4,9,,,,,,,6,1,3,,,,,,,6,1,1
2018-09-30,2820000000,인천광역시,남동구,0,70,2,6,,,,,,,2,1,0,,,,,,,0,0,0
2018-09-30,2814000000,인천광역시,동구,1,40,0,6,9286937,2368241,72702,16067,5457,932,578,434,78,840734,222037,3203,1520,636,114,553,349,28
2018-09-30,2814000000,인천광역시,동구,1,70,4,9,,,,,,,3,0,1,,,,,,,3,0,0
2018-09-30,2820000000,인천광역시,남동구,1,80,1,2,,,,,,,1,0,0,,,,,,,1,0,0
2018-09-30,2814000000,인천광역시,동구,1,70,4,3,1825735,292344,947,4306,1874,158,424,156,6,151545,28688,,438,299,,346,96,1
2018-09-30,2814000000,인천광역시,동구,1,70,3,8,80190,2917,,8019,972,,10,3,1,6883,236,,688,79,,10,3,0
2018-09-30,2820000000,인천광역시,남동구,0,70,2,8,,,,,,,4,1,0,,,,,,,4,1,0
2018-09-30,2814000000,인천광역시,동구,1,40,2,7,,,,,,,6,6,0,,,,,,,6,3,0
2018-09-30,2814000000,인천광역시,동구,1,40,3,0,39617761,7360685,416817,22383,5369,849,1770,1371,491,3450978,638868,33055,1995,598,204,1730,1069,162
2018-09-30,2814000000,인천광역시,동구,1,70,1,3,470688,19812,,16231,1981,,29,10,1,26282,1658,,1011,237,,26,7,0
2018-09-30,2814000000,인천광역시,동구,1,70,0,8,494482,10249,,12362,854,,40,12,1,33730,1032,,865,115,,39,9,0
2018-09-30,2820000000,인천광역시,남동구,0,70,2,10,126785,17079,,10565,3416,,12,5,0,9204,881,,837,294,,11,3,0
2018-09-30,2814000000,인천광역시,동구,1,40,4,4,1958367,675971,11018,7446,3281,424,263,206,26,184081,60160,2245,797,409,249,231,147,9
2018-09-30,2820000000,인천광역시,남동구,1,80,1,4,,,,,,,1,0,0,,,,,,,1,0,0
2018-09-30,2814000000,인천광역시,동구,1,60,4,7,1547783,277777,8240,13697,4409,2060,113,63,4,139415,39433,,1279,758,,109,52,1
2018-09-30,2814000000,인천광역시,동구,1,50,0,4,2427175,643287,4128,7267,2885,688,334,223,6,214694,68863,,730,439,,294,157,2
2018-09-30,2814000000,인천광역시,동구,1,50,0,8,11448226,2129557,44603,18798,5258,558,609,405,80,932505,176581,7121,1583,597,509,589,296,14
2018-09-30,2820000000,인천광역시,남동구,2,40,2,9,3437249,606830,28982,18480,4244,644,186,143,45,293987,48908,4259,1633,425,355,180,115,12
2018-09-30,2814000000,인천광역시,동구,1,50,1,2,535637,24620,2231,26782,2052,446,20,12,5,29446,3179,,1472,454,,20,7,0
2018-09-30,2814000000,인천광역시,동구,1,50,1,7,2038736,228745,3038,17884,4236,338,114,54,9,167470,17457,272,1565,529,45,107,33,6
2018-09-30,2820000000,인천광역시,남동구,2,60,4,1,8434453,1873092,44150,7950,2821,712,1061,664,62,699235,166242,2730,775,361,195,902,461,14
2018-09-30,2820000000,인천광역시,남동구,0,70,3,3,1844088,143232,6254,10132,2046,569,182,70,11,155943,19802,,912,440,,171,45,1
2018-09-30,2814000000,인천광역시,동구,1,50,2,2,,,,,,,1,0,0,,,,,,,1,0,0
2018-09-30,2814000000,인천광역시,동구,1,60,0,6,3234357,475741,20982,9569,2919,1234,338,163,17,279291,48097,,884,429,,316,112,2
2018-09-30,2814000000,인천광역시,동구,1,50,3,4,410377,106485,,10799,4259,,38,25,0,32201,10745,,894,512,,36,21,0
2018-09-30,2820000000,인천광역시,남동구,1,80,1,7,,,,,,,0,0,0,,,,,,,0,0,0
