기준년월,행정동코드,시도명,시군구명,성별,연령별,직업구분,분위구분,최근12개월신용및체크카드이용금액합계,최근12개월전체체크카드이용금액합계,최근12개월해외이용금액합계,최근12개월평균신용및체크카드이용금액합계,최근12개월평균체크카드이용금액,최근12개월평균해외이용금액,최근12개월신용및체크카드이용인구수,최근12개월체크카드이용인구수,최근12개월해외이용인구수,최근1개월신용및체크카드이용금액합계,최근1개월체크카드이용금액합계,최근1개월해외신판이용금액합계,최근1개월평균신용및체크카드이용금액,최근1개월평균체크카드이용금액,최근1개월평균해외이용금액,최근1개월신용및체크카드이용인구수,최근1개월체크카드이용인구수,최근1개월해외이용인구수
2019-03-31,2820000000,인천광역시,남동구,2,90,0,2,,,,,,,1,1,0,,,,,,,1,1,0
2019-03-31,2820000000,인천광역시,남동구,1,50,3,5,5869097,1368074,23139,11352,3619,701,517,378,33,438066,106254,4506,883,373,376,496,285,12
2019-03-31,2820000000,인천광역시,남동구,2,60,2,8,401472,58436,921,14869,3896,132,27,15,7,33048,4098,,1322,373,,25,11,0
2019-03-31,2820000000,인천광역시,남동구,1,20,3,1,16262365,7719883,196504,9726,4690,496,1672,1646,396,1396595,599056,15699,887,419,98,1575,1430,161
2019-03-31,2820000000,인천광역시,남동구,1,70,3,9,1660646,81512,14561,21567,3135,693,77,26,21,74906,5201,,1040,289,,72,18,2
2019-03-31,2820000000,인천광역시,남동구,2,50,3,10,32656600,3637749,484395,37152,5877,1121,879,619,432,2570333,279329,53450,2944,631,442,873,443,121
2019-03-31,2820000000,인천광역시,남동구,1,80,1,2,,,,,,,2,1,0,,,,,,,2,0,0
2019-03-31,2820000000,인천광역시,남동구,2,50,0,6,64248328,12139378,331633,13492,3724,519,4762,3260,639,5046107,942943,15431,1111,408,209,4542,2312,74
2019-03-31,2820000000,인천광역시,남동구,2,0,2,3,2037054,493540,44648,16040,4528,1015,127,109,44,167442,40185,2074,1350,457,173,124,88,12
2019-03-31,2820000000,인천광역시,남동구,2,0,0,7,342172320,66973308,3496965,20088,5248,822,17034,12762,4254,26591498,5002838,326860,1598,521,293,16644,9604,1114
2019-03-31,2820000000,인천광역시,남동구,2,40,3,4,12734930,2381366,77992,17256,3969,484,738,600,161,1125777,185708,1751,1577,414,63,714,449,28
2019-03-31,2820000000,인천광역시,남동구,0,50,3,0,427785703,67880137,4205860,21335,4718,960,20051,14388,4382,33535482,5162410,401926,1708,487,420,19635,10591,958
