기준년월,행정동코드,시도명,시군구명,성별,연령별,직업구분,분위구분,최근12개월신용및체크카드이용금액합계,최근12개월전체체크카드이용금액합계,최근12개월해외이용금액합계,최근12개월평균신용및체크카드이용금액합계,최근12개월평균체크카드이용금액,최근12개월평균해외이용금액,최근12개월신용및체크카드이용인구수,최근12개월체크카드이용인구수,최근12개월해외이용인구수,최근1개월신용및체크카드이용금액합계,최근1개월체크카드이용금액합계,최근1개월해외신판이용금액합계,최근1개월평균신용및체크카드이용금액,최근1개월평균체크카드이용금액,최근1개월평균해외이용금액,최근1개월신용및체크카드이용인구수,최근1개월체크카드이용인구수,최근1개월해외이용인구수
2020-06-30,2820000000,인천광역시,남동구,0,70,4,10,4390122,667287,29666,29267,11121,1561,150,60,19,298604,24817,,2133,564,,140,44,2
2020-06-30,2814000000,인천광역시,동구,0,30,4,0,53588597,17895533,717619,14771,5334,908,3628,3355,790,4572487,1532379,23489,1325,555,117,3450,2762,201
2020-06-30,2814000000,인천광역시,동구,1,70,4,3,1077528,210527,1111,5986,2193,278,180,96,4,99124,25705,,597,357,,166,72,1
2020-06-30,2820000000,인천광역시,남동구,1,0,3,3,60992204,15770823,587149,16956,5010,641,3597,3148,916,5883221,1461265,35405,1688,562,134,3486,2600,264
2020-06-30,2814000000,인천광역시,동구,1,70,3,6,222765,23867,,13104,3410,,17,7,0,16328,549,,960,183,,17,3,0
2020-06-30,2820000000,인천광역시,남동구,1,50,4,6,34496892,11867494,155847,10218,4417,795,3376,2687,196,3605288,1304013,4979,1137,584,178,3171,2233,28
2020-06-30,2814000000,인천광역시,동구,0,40,0,9,35528192,5109252,280015,29290,5384,800,1213,949,350,2986206,458012,11263,2470,621,152,1209,737,74
2020-06-30,2820000000,인천광역시,남동구,0,60,4,8,31905648,3981370,205482,19756,4529,978,1615,879,210,2507953,362438,6204,1569,578,270,1598,627,23
2020-06-30,2814000000,인천광역시,동구,0,40,1,6,3577844,512146,6127,19767,4130,211,181,124,29,370270,58890,188,2153,583,47,172,101,4
2020-06-30,2814000000,인천광역시,동구,1,70,0,6,1032618,132160,3796,11103,2447,542,93,54,7,79340,11247,,882,288,,90,39,0
2020-06-30,2820000000,인천광역시,남동구,1,50,1,10,99953705,9824423,895329,66859,11766,1877,1495,835,477,7862520,743615,28833,5331,1217,365,1475,611,79
2020-06-30,2820000000,인천광역시,남동구,0,60,2,5,144571,32160,,14457,3573,,10,9,1,20173,3797,,2017,633,,10,6,0
2020-06-30,2820000000,인천광역시,남동구,1,60,1,5,3065560,239666,8266,15328,1844,636,200,130,13,258044,28081,,1323,334,,195,84,2
2020-06-30,2814000000,인천광역시,동구,1,70,0,0,12276553,1928244,30418,7678,2369,800,1599,814,38,983819,190163,2155,688,320,718,1429,594,3
2020-06-30,2814000000,인천광역시,동구,0,40,3,4,3252801,729917,19933,14457,4078,687,225,179,29,269590,67307,25,1248,464,6,216,145,4
2020-06-30,2814000000,인천광역시,동구,1,60,4,1,312075,70002,,3629,1400,,86,50,0,22411,9056,,423,335,,53,27,0
2020-06-30,2820000000,인천광역시,남동구,0,0,4,3,283956875,111703247,1722150,8231,3998,524,34497,27937,3284,26253169,10613934,79159,828,473,101,31688,22425,786
2020-06-30,2814000000,인천광역시,동구,0,40,4,1,122840,38052,,8774,4228,,14,9,2,,,,,,,2,2,0
2020-06-30,2814000000,인천광역시,동구,0,40,3,6,7152897,1340575,30820,19759,4410,406,362,304,76,612112,118297,2605,1724,495,153,355,239,17
2020-06-30,2820000000,인천광역시,남동구,0,50,3,1,,,,,,,1,1,0,,,,,,,1,1,0
2020-06-30,2820000000,인천광역시,남동구,0,15,4,5,549005,539123,,10980,10782,,50,50,0,48404,45914,,968,918,,50,50,0
2020-06-30,2814000000,인천광역시,동구,0,50,0,2,1246394,171852,5900,14326,2565,656,87,67,9,104344,22541,,1257,490,,83,46,1
2020-06-30,2814000000,인천광역시,동구,0,50,0,4,11979551,3473146,29506,7386,2808,364,1622,1237,81,1066721,351305,561,735,386,51,1451,911,11
2020-06-30,2820000000,인천광역시,남동구,0,50,3,3,14665271,1612587,47368,24983,3560,551,587,453,86,1503122,187442,572,2623,543,48,573,345,12
2020-06-30,2814000000,인천광역시,동구,1,60,1,9,2010530,211172,11471,29567,6399,1434,68,33,8,124433,11457,,1857,441,,67,26,0
2020-06-30,2814000000,인천광역시,동구,0,50,1,6,3224381,450567,13926,16707,3851,819,193,117,17,361642,49810,,1934,541,,187,92,1
2020-06-30,2820000000,인천광역시,남동구,1,40,2,8,3001566,600885,23567,20281,5271,561,148,114,42,254918,56718,615,1746,630,41,146,90,15
2020-06-30,2814000000,인천광역시,동구,1,50,4,3,1262897,440351,1369,6901,3037,456,183,145,3,183041,50551,,1123,443,,163,114,1
2020-06-30,2820000000,인천광역시,남동구,0,50,2,5,274989,28730,,22916,3192,,12,9,2,26186,3625,,2182,518,,12,7,1
2020-06-30,2820000000,인천광역시,남동구,0,15,0,1,26682923,26578625,231,1787,1780,58,14933,14933,4,2652576,2610803,,196,193,,13540,13536,2
2020-06-30,2814000000,인천광역시,동구,1,50,4,2,120576,27222,,7536,2475,,16,11,0,10168,3845,,678,481,,15,8,0
2020-06-30,2820000000,인천광역시,남동구,0,15,2,7,,,,,,,1,1,1,,,,,,,1,1,0
2020-06-30,2814000000,인천광역시,동구,1,50,3,5,957248,181276,1040,11396,2832,208,84,64,5,89209,18866,,1088,370,,82,51,1
2020-06-30,2814000000,인천광역시,동구,1,50,2,7,,,,,,,1,1,0,,,,,,,1,0,0
2020-06-30,2820000000,인천광역시,남동구,2,15,4,7,443986,427480,,13875,13359,,32,32,0,40366,37928,,1261,1185,,32,32,0
2020-06-30,2814000000,인천광역시,동구,0,50,4,4,9238543,3058232,19112,6497,2798,324,1422,1093,59,814544,307429,454,647,381,65,1259,806,7
2020-06-30,2814000000,인천광역시,동구,1,50,0,5,5711550,1448475,34689,10347,3424,913,552,423,38,604955,169314,998,1159,499,125,522,339,8
2020-06-30,2820000000,인천광역시,남동구,1,20,0,0,405737801,211695924,4803475,11181,5900,735,36288,35883,6535,36061060,17811946,265661,1030,542,146,35012,32848,1814
2020-06-30,2820000000,인천광역시,남동구,1,90,4,0,310094,126601,,3648,1948,,85,65,0,22059,13151,,409,337,,54,39,0
2020-06-30,2814000000,인천광역시,동구,1,40,4,6,4847098,1341617,28402,15840,5025,580,306,267,49,430583,123674,871,1470,578,73,293,214,12
2020-06-30,2814000000,인천광역시,동구,1,40,3,9,9680362,1486270,128834,28305,5270,1130,342,282,114,879151,151014,7308,2593,671,228,339,225,32
2020-06-30,2820000000,인천광역시,남동구,1,15,2,0,,,,,,,2,2,2,,,,,,,2,2,0
2020-06-30,2814000000,인천광역시,동구,0,60,2,3,,,,,,,0,0,0,,,,,,,0,0,0
2020-06-30,2820000000,인천광역시,남동구,1,50,3,4,4660790,911172,20994,13241,3362,875,352,271,24,478336,113440,1170,1403,498,167,341,228,7
2020-06-30,2814000000,인천광역시,동구,0,60,2,9,263722,36595,,10988,2440,,24,15,2,50227,3929,,2093,357,,24,11,0
2020-06-30,2820000000,인천광역시,남동구,2,30,2,6,1716598,464303,27340,18864,5462,854,91,85,32,128906,36085,646,1432,481,215,90,75,3
2020-06-30,2814000000,인천광역시,동구,1,40,1,10,7431728,714815,29352,79061,10212,839,94,70,35,660075,66430,877,7098,1510,125,93,44,7
2020-06-30,2820000000,인천광역시,남동구,1,60,0,0,389348575,70618898,2564452,14987,4211,1180,25979,16772,2174,34166624,7008952,40263,1380,542,134,24757,12921,300
2020-06-30,2814000000,인천광역시,동구,1,40,1,2,228903,31142,,22890,4449,,10,7,1,14708,2703,,1471,541,,10,5,1
2020-06-30,2820000000,인천광역시,남동구,2,0,3,3,67965842,15955808,655404,17064,4613,609,3983,3459,1076,5943236,1378353,21095,1519,489,91,3912,2817,232
2020-06-30,2814000000,인천광역시,동구,0,60,4,1,921717,151362,447,4563,1402,112,202,108,4,64498,14715,,433,230,,149,64,2
2020-06-30,2814000000,인천광역시,동구,1,30,4,6,2315290,751458,14484,22262,7747,557,104,97,26,173131,62938,554,1681,768,79,103,82,7
