기준년월,행정동코드,시도명,시군구명,성별,연령별,직업구분,분위구분,최근12개월신용및체크카드이용금액합계,최근12개월전체체크카드이용금액합계,최근12개월해외이용금액합계,최근12개월평균신용및체크카드이용금액합계,최근12개월평균체크카드이용금액,최근12개월평균해외이용금액,최근12개월신용및체크카드이용인구수,최근12개월체크카드이용인구수,최근12개월해외이용인구수,최근1개월신용및체크카드이용금액합계,최근1개월체크카드이용금액합계,최근1개월해외신판이용금액합계,최근1개월평균신용및체크카드이용금액,최근1개월평균체크카드이용금액,최근1개월평균해외이용금액,최근1개월신용및체크카드이용인구수,최근1개월체크카드이용인구수,최근1개월해외이용인구수
2018-12-31,2814000000,인천광역시,동구,0,60,3,9,1840865,254072,11542,15469,3578,962,119,71,12,141518,13379,,1210,285,,117,47,1
2018-12-31,2814000000,인천광역시,동구,0,60,4,6,3555191,667608,21275,9740,3815,818,365,175,26,283541,54551,3664,857,462,523,331,118,7
2018-12-31,2814000000,인천광역시,동구,0,70,0,3,4464310,703567,10123,4496,1847,506,993,381,20,359905,60679,1261,432,257,315,833,236,4
2018-12-31,2820000000,인천광역시,남동구,0,70,1,3,2601934,104715,7179,16061,1904,653,162,55,11,201989,11674,,1365,389,,148,30,2
2018-12-31,2814000000,인천광역시,동구,0,70,1,0,2924512,145028,7348,13293,1960,735,220,74,10,227256,9413,1013,1109,248,338,205,38,3
2018-12-31,2814000000,인천광역시,동구,0,70,1,8,443936,32066,,13057,3207,,34,10,1,29422,2337,,892,390,,33,6,0
2018-12-31,2820000000,인천광역시,남동구,1,80,0,7,,,,,,,7,2,2,,,,,,,7,2,0
2018-12-31,2814000000,인천광역시,동구,0,70,3,1,139099,9101,,8182,1138,,17,8,1,30575,958,,1911,160,,16,6,0
2018-12-31,2814000000,인천광역시,동구,0,70,3,9,,,,,,,5,3,0,,,,,,,5,0,0
2018-12-31,2820000000,인천광역시,남동구,2,40,1,5,2940173,331564,34503,27478,4421,986,107,75,35,229525,25677,1420,2165,450,178,106,57,8
2018-12-31,2820000000,인천광역시,남동구,0,70,1,5,391005,40968,,10026,1862,,39,22,2,38113,4478,,1030,344,,37,13,0
2018-12-31,2814000000,인천광역시,동구,0,70,4,6,642175,70013,,14934,3685,,43,19,2,57032,7485,,1501,624,,38,12,0
2018-12-31,2814000000,인천광역시,동구,0,80,0,3,22010,,,5503,,,4,0,0,1940,,,485,,,4,0,0
2018-12-31,2814000000,인천광역시,동구,0,80,1,7,,,,,,,0,0,0,,,,,,,0,0,0
2018-12-31,2820000000,인천광역시,남동구,0,70,1,7,2189446,104711,11719,10839,1454,837,202,72,14,214770,11654,,1107,284,,194,41,2
2018-12-31,2814000000,인천광역시,동구,0,80,4,2,,,,,,,6,1,0,,,,,,,5,1,0
2018-12-31,2814000000,인천광역시,동구,0,90,4,0,40746,24922,,2547,2492,,16,10,0,3529,2163,,294,309,,12,7,0
2018-12-31,2820000000,인천광역시,남동구,0,70,1,9,3907104,242371,19317,22199,4108,623,176,59,31,316174,22394,2932,1882,746,326,168,30,9
2018-12-31,2814000000,인천광역시,동구,1,0,0,6,27344138,6494458,248014,14197,4779,899,1926,1359,276,2403119,526152,23925,1319,503,266,1822,1047,90
2018-12-31,2820000000,인천광역시,남동구,1,80,0,9,,,,,,,7,3,1,,,,,,,7,2,0
2018-12-31,2814000000,인천광역시,동구,1,0,1,3,1950749,224420,10599,21919,4987,883,89,45,12,162000,18250,961,1906,570,240,85,32,4
2018-12-31,2814000000,인천광역시,동구,1,0,2,0,22732987,4868069,374687,24261,6339,1109,937,768,338,1907562,387587,35020,2058,629,305,927,616,115
2018-12-31,2814000000,인천광역시,동구,1,0,2,8,1159425,230527,20106,19324,4803,773,60,48,26,87869,16753,1264,1464,441,126,60,38,10
2018-12-31,2820000000,인천광역시,남동구,0,70,2,0,315198,32652,,8082,1921,,39,17,2,19353,2486,,509,249,,38,10,0
2018-12-31,2814000000,인천광역시,동구,1,0,3,5,7086890,1700312,72191,15679,4914,839,452,346,86,761264,154079,3528,1750,595,176,435,259,20
2018-12-31,2814000000,인천광역시,동구,1,0,4,2,18223959,12639302,98447,5684,4366,515,3206,2895,191,1756026,1136293,7764,593,438,104,2959,2595,75
2018-12-31,2814000000,인천광역시,동구,1,0,4,10,10575187,2186397,162750,31568,8574,1507,335,255,108,850451,167980,8993,2601,848,265,327,198,34
2018-12-31,2814000000,인천광역시,동구,1,15,3,0,,,,,,,8,8,0,,,,,,,8,7,0
2018-12-31,2820000000,인천광역시,남동구,0,70,2,2,,,,,,,3,1,0,,,,,,,3,1,0
2018-12-31,2814000000,인천광역시,동구,1,15,4,3,46892,46892,,7815,7815,,6,6,0,4664,4664,,777,777,,6,6,0
2018-12-31,2820000000,인천광역시,남동구,2,40,1,7,11326828,1816860,90740,20976,4378,769,540,415,118,1050013,163861,6444,1963,527,184,535,311,35
