기준년월,행정동코드,시도명,시군구명,성별,연령별,직업구분,분위구분,최근12개월신용및체크카드이용금액합계,최근12개월전체체크카드이용금액합계,최근12개월해외이용금액합계,최근12개월평균신용및체크카드이용금액합계,최근12개월평균체크카드이용금액,최근12개월평균해외이용금액,최근12개월신용및체크카드이용인구수,최근12개월체크카드이용인구수,최근12개월해외이용인구수,최근1개월신용및체크카드이용금액합계,최근1개월체크카드이용금액합계,최근1개월해외신판이용금액합계,최근1개월평균신용및체크카드이용금액,최근1개월평균체크카드이용금액,최근1개월평균해외이용금액,최근1개월신용및체크카드이용인구수,최근1개월체크카드이용인구수,최근1개월해외이용인구수
2018-03-31,2820000000,인천광역시,남동구,0,0,0,1,387520394,147657380,2940909,9281,4020,674,41752,36733,4363,31739874,12813676,223848,848,421,173,37422,30445,1292
2018-03-31,2820000000,인천광역시,남동구,0,0,0,10,1246572464,163124606,24648014,39780,7487,1858,31337,21789,13266,97952474,14408314,1820132,3175,893,486,30848,16128,3742
2018-03-31,2820000000,인천광역시,남동구,0,0,2,4,5801400,1653943,104761,17215,5217,818,337,317,128,467572,133570,9353,1413,508,199,331,263,47
2018-03-31,2820000000,인천광역시,남동구,0,0,3,9,446189200,79804599,6997214,25501,5964,1142,17497,13382,6128,35583208,6983427,527851,2065,687,309,17235,10166,1708
2018-03-31,2820000000,인천광역시,남동구,0,15,0,3,949621,886631,827,5247,4899,165,181,181,5,102300,89603,368,581,515,123,176,174,3
2018-03-31,2820000000,인천광역시,남동구,0,15,3,1,242237,209837,2159,5047,4372,540,48,48,4,29370,21459,,612,457,,48,47,1
2018-03-31,2820000000,인천광역시,남동구,0,20,0,1,97746808,58166506,942808,7903,4752,479,12369,12240,1967,8614544,4972187,77245,737,450,109,11687,11043,706
2018-03-31,2820000000,인천광역시,남동구,0,20,1,6,4650650,1602767,55985,16911,6094,566,275,263,99,371929,114897,6050,1383,532,183,269,216,33
2018-03-31,2820000000,인천광역시,남동구,0,20,3,0,247375652,91398727,5096975,16612,6270,817,14891,14578,6235,20490403,7200223,414618,1399,555,189,14646,12967,2193
2018-03-31,2820000000,인천광역시,남동구,0,20,4,5,18272503,7134099,476980,25273,10020,1355,723,712,352,1396725,554160,51461,1948,888,390,717,624,132
2018-03-31,2820000000,인천광역시,남동구,0,30,0,10,241873531,37664784,8187072,44065,8123,2525,5489,4637,3243,18550649,2954901,667929,3413,832,580,5435,3550,1152
2018-03-31,2820000000,인천광역시,남동구,0,30,2,4,2338901,640000,47454,17719,5161,1079,132,124,44,181192,55817,4176,1416,575,298,128,97,14
2018-03-31,2820000000,인천광역시,남동구,0,30,3,9,144052322,22891979,3169102,30807,5555,1286,4676,4121,2464,10911664,1761371,215887,2355,542,273,4634,3252,790
2018-03-31,2820000000,인천광역시,남동구,0,40,0,3,39478213,7656547,207870,16987,4258,560,2324,1798,371,3177158,662783,17881,1449,491,206,2193,1350,87
2018-03-31,2820000000,인천광역시,남동구,0,40,1,8,60113370,8089151,414711,22727,4620,796,2645,1751,521,4854360,631080,32937,1906,521,227,2547,1211,145
2018-03-31,2820000000,인천광역시,남동구,0,40,3,2,15010283,3107846,95553,20202,5163,583,743,602,164,1172353,223804,2899,1610,470,83,728,476,35
2018-03-31,2820000000,인천광역시,남동구,0,40,4,7,105870525,22872625,756426,19419,5620,706,5452,4070,1072,8519255,1758117,75527,1604,559,267,5312,3147,283
2018-03-31,2820000000,인천광역시,남동구,0,50,1,1,16836536,1639555,178303,27200,5014,1247,619,327,143,1226302,108748,13035,2017,506,449,608,215,29
2018-03-31,2820000000,인천광역시,남동구,0,50,2,6,,,,,,,8,5,1,,,,,,,8,4,0
2018-03-31,2820000000,인천광역시,남동구,0,50,4,0,556646923,116339103,4080879,12545,3863,860,44372,30120,4745,43402943,9184672,309647,1069,430,345,40583,21338,898
2018-03-31,2820000000,인천광역시,남동구,0,60,0,5,46286022,7501723,236295,8953,2738,668,5170,2740,354,3709555,591963,17659,778,324,346,4766,1828,51
2018-03-31,2820000000,인천광역시,남동구,0,60,1,1,7424418,548780,26254,23421,3659,656,317,150,40,557893,42410,2945,1805,505,491,309,84,6
2018-03-31,2820000000,인천광역시,남동구,0,60,1,10,53318347,10181812,599500,63550,30393,2288,839,335,262,4219834,1096238,42142,5184,5894,810,814,186,52
2018-03-31,2820000000,인천광역시,남동구,0,60,3,4,6097022,734695,30420,9602,2200,742,635,334,41,453041,60341,2774,753,274,347,602,220,8
2018-03-31,2820000000,인천광역시,남동구,0,60,4,9,24154361,1711597,330855,23774,3917,1568,1016,437,211,1697372,136380,15515,1715,541,575,990,252,27
2018-03-31,2820000000,인천광역시,남동구,0,70,1,3,2272250,118012,37394,16347,2459,3116,139,48,12,172804,6875,1685,1394,299,337,124,23,5
2018-03-31,2820000000,인천광역시,남동구,0,70,2,8,,,,,,,4,2,1,,,,,,,4,2,0
2018-03-31,2820000000,인천광역시,남동구,0,70,4,2,13049906,2508018,29156,4365,1841,540,2990,1362,54,1162341,379262,3091,476,455,281,2442,833,11
2018-03-31,2820000000,인천광역시,남동구,0,80,0,7,48455,,,9691,,,5,2,1,3983,,,996,,,4,0,0
2018-03-31,2820000000,인천광역시,남동구,0,80,3,2,,,,,,,2,1,0,,,,,,,2,1,0
2018-03-31,2820000000,인천광역시,남동구,0,90,0,0,343832,174913,,2990,2034,,115,86,2,38456,23097,,610,577,,63,40,0
2018-03-31,2820000000,인천광역시,남동구,1,0,1,1,35479319,3828195,299471,30691,5572,1291,1156,687,232,2617486,257993,27620,2316,547,400,1130,472,69
