기준년월,행정동코드,시도명,시군구명,성별,연령별,직업구분,분위구분,최근12개월신용및체크카드이용금액합계,최근12개월전체체크카드이용금액합계,최근12개월해외이용금액합계,최근12개월평균신용및체크카드이용금액합계,최근12개월평균체크카드이용금액,최근12개월평균해외이용금액,최근12개월신용및체크카드이용인구수,최근12개월체크카드이용인구수,최근12개월해외이용인구수,최근1개월신용및체크카드이용금액합계,최근1개월체크카드이용금액합계,최근1개월해외신판이용금액합계,최근1개월평균신용및체크카드이용금액,최근1개월평균체크카드이용금액,최근1개월평균해외이용금액,최근1개월신용및체크카드이용인구수,최근1개월체크카드이용인구수,최근1개월해외이용인구수
2017-09-30,2820000000,인천광역시,남동구,0,0,0,5,458103608,119952316,5181067,10906,3896,867,42006,30785,5976,41775513,10964328,392822,1082,474,211,38603,23115,1858
2017-09-30,2820000000,인천광역시,남동구,0,0,1,10,367195244,31940192,5877932,59970,9444,2629,6123,3382,2236,30084710,2752464,482919,5062,1239,702,5943,2222,688
2017-09-30,2820000000,인천광역시,남동구,0,0,3,4,122290589,29391044,2389064,15913,4626,1015,7685,6354,2354,11148453,2593910,260564,1493,509,315,7469,5099,827
2017-09-30,2820000000,인천광역시,남동구,0,0,4,9,295465987,36964708,4906156,33950,6551,1832,8703,5643,2678,23898710,3123503,424420,2798,749,563,8541,4168,754
2017-09-30,2820000000,인천광역시,남동구,0,15,1,7,,,,,,,1,1,0,,,,,,,1,1,0
2017-09-30,2820000000,인천광역시,남동구,0,15,3,8,,,,,,,2,2,1,,,,,,,2,2,0
2017-09-30,2820000000,인천광역시,남동구,0,20,0,6,35431691,11802694,794207,21513,7386,1008,1647,1598,788,3136119,951276,82304,1926,669,242,1628,1421,340
2017-09-30,2820000000,인천광역시,남동구,0,20,2,0,35531444,11059705,1308586,20097,6408,1318,1768,1726,993,3152996,910160,127111,1798,601,291,1754,1515,437
2017-09-30,2820000000,인천광역시,남동구,0,20,3,5,19984266,6795261,473965,18419,6417,888,1085,1059,534,1869717,551566,49544,1743,594,212,1073,929,234
2017-09-30,2820000000,인천광역시,남동구,0,20,4,10,3078275,1914702,101030,37088,23350,2971,83,82,34,308382,156857,11464,3807,2149,882,81,73,13
2017-09-30,2820000000,인천광역시,남동구,0,30,1,4,10269558,1691941,152553,24164,4807,1098,425,352,139,837920,150705,13803,2009,556,288,417,271,48
2017-09-30,2820000000,인천광역시,남동구,0,30,2,9,23891907,4343171,724199,24036,5122,1426,994,848,508,2173220,396263,81126,2224,604,420,977,656,193
2017-09-30,2820000000,인천광역시,남동구,0,30,4,3,60741245,26118956,638112,7905,3700,564,7684,7059,1132,5789140,2474093,70549,847,442,189,6833,5593,374
2017-09-30,2820000000,인천광역시,남동구,0,40,0,8,242694809,40386597,1943199,23094,5329,824,10509,7578,2357,21326236,3493884,174803,2078,609,268,10265,5739,652
2017-09-30,2820000000,인천광역시,남동구,0,40,2,2,656022,84835,4239,21867,3263,606,30,26,7,53827,7560,,1856,420,,29,18,2
2017-09-30,2820000000,인천광역시,남동구,0,40,3,7,47409678,8786275,408747,17579,4371,729,2697,2010,561,4362670,813827,33371,1660,514,224,2628,1582,149
2017-09-30,2820000000,인천광역시,남동구,0,50,0,1,58607611,13214629,435786,13375,4085,975,4382,3235,447,5014782,1251575,35791,1295,528,453,3873,2371,79
2017-09-30,2820000000,인천광역시,남동구,0,50,1,6,5818512,558363,35142,18355,3051,703,317,183,50,480540,44554,2000,1581,387,200,304,115,10
2017-09-30,2820000000,인천광역시,남동구,0,50,3,0,352121269,55640777,3701447,19040,4513,1000,18494,12329,3702,32239068,5815424,419012,1785,636,502,18058,9137,835
2017-09-30,2820000000,인천광역시,남동구,0,50,4,5,77355986,19746777,280897,7024,2700,483,11013,7314,581,7161683,1815160,24440,732,351,260,9782,5173,94
2017-09-30,2820000000,인천광역시,남동구,0,60,0,10,69967558,4594695,1152750,31208,4703,1773,2242,977,650,5947915,366415,78237,2752,603,647,2161,608,121
2017-09-30,2820000000,인천광역시,남동구,0,60,2,4,,,,,,,5,2,1,,,,,,,5,1,0
2017-09-30,2820000000,인천광역시,남동구,0,60,3,9,18407928,2103775,195816,16966,3572,979,1085,589,200,1559765,170727,6554,1463,428,168,1066,399,39
2017-09-30,2820000000,인천광역시,남동구,0,70,0,3,23745403,3641144,99573,4985,1859,905,4763,1959,110,2061619,319180,10066,519,260,479,3975,1229,21
2017-09-30,2820000000,인천광역시,남동구,0,70,1,8,2626696,133960,8570,10507,1717,429,250,78,20,221054,9684,,974,255,,227,38,0
2017-09-30,2820000000,인천광역시,남동구,0,70,3,3,1697826,104194,22505,10884,1766,5626,156,59,4,142924,13319,,993,370,,144,36,1
2017-09-30,2820000000,인천광역시,남동구,0,70,4,8,1141027,189072,5105,14819,7563,638,77,25,8,75943,11724,,1055,651,,72,18,1
2017-09-30,2820000000,인천광역시,남동구,0,80,1,2,,,,,,,1,0,0,,,,,,,0,0,0
2017-09-30,2820000000,인천광역시,남동구,0,80,4,2,83069,17058,,3956,2132,,21,8,2,8076,1779,,577,297,,14,6,1
2017-09-30,2820000000,인천광역시,남동구,1,0,0,3,141046684,49808031,1545522,9721,4412,707,14509,11288,2187,13286313,4547285,144097,1008,510,185,13184,8917,780
2017-09-30,2820000000,인천광역시,남동구,1,0,0,10,844618670,105549041,15620772,36854,6806,1732,22918,15509,9021,70953675,9034971,1510266,3146,775,541,22551,11656,2794
2017-09-30,2820000000,인천광역시,남동구,1,0,1,8,91361794,11233647,631063,19883,4383,945,4595,2563,668,8090363,967011,61119,1839,558,312,4399,1733,196
2017-09-30,2820000000,인천광역시,남동구,1,0,3,2,51666483,16937020,581680,12757,4797,603,4050,3531,965,5050245,1540134,62215,1300,536,162,3884,2871,383
2017-09-30,2820000000,인천광역시,남동구,1,0,4,7,104836775,24869094,1136893,16769,5688,1066,6252,4372,1067,9416326,2204151,106412,1576,651,323,5976,3385,329
2017-09-30,2820000000,인천광역시,남동구,1,15,2,0,,,,,,,3,3,1,,,,,,,3,2,1
2017-09-30,2820000000,인천광역시,남동구,1,15,4,5,,,,,,,1,1,0,,,,,,,1,1,0
